severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T17:24:54-0300		82.0	sanderdieleman@gmail.com	python:S5806	Kaggle_Galaxy_Challenge	5min	Rename this variable; it shadows a builtin.	2014-04-16T14:30:38-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Kaggle_Galaxy_Challenge:cc_layers.py	"{locations=[{component=Kaggle_Galaxy_Challenge:cc_layers.py, textRange={startLine=88.0, endLine=88.0, startOffset=12.0, endOffset=17.0}, msg=Variable also assigned here.}]} / "	MAIN	{startLine=82.0, endLine=82.0, startOffset=12.0, endOffset=17.0}	5min	AYNC05iJop39vzmIoHEZ	6d341bfe062b479c09848eeca91e952c	OPEN
MAJOR	2022-09-15T17:24:54-0300		132.0	sanderdieleman@gmail.com	python:S5806	Kaggle_Galaxy_Challenge	5min	Rename this variable; it shadows a builtin.	2014-04-16T14:30:38-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Kaggle_Galaxy_Challenge:cc_layers.py		MAIN	{startLine=132.0, endLine=132.0, startOffset=8.0, endOffset=13.0}	5min	AYNC05iJop39vzmIoHEa	4e20ffb4ce688e2d473105befce9521e	OPEN
MAJOR	2022-09-15T17:24:54-0300		174.0	sanderdieleman@gmail.com	python:S5806	Kaggle_Galaxy_Challenge	5min	Rename this variable; it shadows a builtin.	2014-04-16T14:30:38-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Kaggle_Galaxy_Challenge:cc_layers.py		MAIN	{startLine=174.0, endLine=174.0, startOffset=8.0, endOffset=13.0}	5min	AYNC05iJop39vzmIoHEb	6d341bfe062b479c09848eeca91e952c	OPEN
MAJOR	2022-09-15T17:24:54-0300		205.0	sanderdieleman@gmail.com	python:S5806	Kaggle_Galaxy_Challenge	5min	Rename this variable; it shadows a builtin.	2014-04-16T14:30:38-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Kaggle_Galaxy_Challenge:cc_layers.py		MAIN	{startLine=205.0, endLine=205.0, startOffset=8.0, endOffset=13.0}	5min	AYNC05iJop39vzmIoHEc	4e20ffb4ce688e2d473105befce9521e	OPEN
MAJOR	2022-09-15T17:24:54-0300		228.0	sanderdieleman@gmail.com	python:S5806	Kaggle_Galaxy_Challenge	5min	Rename this variable; it shadows a builtin.	2014-04-16T14:30:38-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Kaggle_Galaxy_Challenge:cc_layers.py		MAIN	{startLine=228.0, endLine=228.0, startOffset=8.0, endOffset=13.0}	5min	AYNC05iJop39vzmIoHEd	4e20ffb4ce688e2d473105befce9521e	OPEN
MAJOR	2022-09-15T17:24:54-0300		248.0	sanderdieleman@gmail.com	python:S5806	Kaggle_Galaxy_Challenge	5min	Rename this variable; it shadows a builtin.	2014-04-16T14:30:38-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Kaggle_Galaxy_Challenge:cc_layers.py		MAIN	{startLine=248.0, endLine=248.0, startOffset=8.0, endOffset=13.0}	5min	AYNC05iJop39vzmIoHEe	4e20ffb4ce688e2d473105befce9521e	OPEN
MAJOR	2022-09-15T17:24:54-0300		300.0	sanderdieleman@gmail.com	python:S125	Kaggle_Galaxy_Challenge	5min	Remove this commented out code.	2014-04-16T14:30:38-0300	CODE_SMELL	false	"unused / "	Kaggle_Galaxy_Challenge:cc_layers.py		MAIN	{startLine=300.0, endLine=300.0, startOffset=8.0, endOffset=94.0}	5min	AYNC05iJop39vzmIoHEf	a909a869e7f4bb00313c1e6bbb8476db	OPEN
MAJOR	2022-09-15T17:24:54-0300		308.0	sanderdieleman@gmail.com	python:S5806	Kaggle_Galaxy_Challenge	5min	Rename this variable; it shadows a builtin.	2014-04-16T14:30:38-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Kaggle_Galaxy_Challenge:cc_layers.py	"{locations=[{component=Kaggle_Galaxy_Challenge:cc_layers.py, textRange={startLine=314.0, endLine=314.0, startOffset=12.0, endOffset=17.0}, msg=Variable also assigned here.}]} / "	MAIN	{startLine=308.0, endLine=308.0, startOffset=12.0, endOffset=17.0}	5min	AYNC05iJop39vzmIoHEg	6d341bfe062b479c09848eeca91e952c	OPEN
MAJOR	2022-09-15T17:24:54-0300		382.0	sanderdieleman@gmail.com	python:S5806	Kaggle_Galaxy_Challenge	5min	Rename this variable; it shadows a builtin.	2014-04-16T14:30:38-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Kaggle_Galaxy_Challenge:cc_layers.py		MAIN	{startLine=382.0, endLine=382.0, startOffset=8.0, endOffset=13.0}	5min	AYNC05iJop39vzmIoHEi	4e20ffb4ce688e2d473105befce9521e	OPEN
MINOR	2022-09-15T17:24:54-0300		386.0	sanderdieleman@gmail.com	python:S1481	Kaggle_Galaxy_Challenge	5min	"Remove the unused local variable ""merged_shape""."	2014-04-16T14:30:38-0300	CODE_SMELL	false	"unused / "	Kaggle_Galaxy_Challenge:cc_layers.py		MAIN	{startLine=386.0, endLine=386.0, startOffset=8.0, endOffset=20.0}	5min	AYNC05iJop39vzmIoHEh	28c046742a5f79af3aec96bb9e8a1dd2	OPEN
