severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T17:18:59-0300		305.0	alister.liao@uwaterloo.ca	python:S3776	Keras_Tuner	6min	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.	2022-03-10T21:02:41-0300	CODE_SMELL	false	"brain-overload / "	Keras_Tuner:keras_tuner/tuners/bayesian.py	"{locations=[{component=Keras_Tuner:keras_tuner/tuners/bayesian.py, textRange={startLine=309.0, endLine=309.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/bayesian.py, textRange={startLine=313.0, endLine=313.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/bayesian.py, textRange={startLine=316.0, endLine=316.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/bayesian.py, textRange={startLine=318.0, endLine=318.0, startOffset=20.0, endOffset=23.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/bayesian.py, textRange={startLine=321.0, endLine=321.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/bayesian.py, textRange={startLine=328.0, endLine=328.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/bayesian.py, textRange={startLine=328.0, endLine=328.0, startOffset=39.0, endOffset=42.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/bayesian.py, textRange={startLine=336.0, endLine=336.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/bayesian.py, textRange={startLine=339.0, endLine=339.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/bayesian.py, textRange={startLine=341.0, endLine=341.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / "	MAIN	{startLine=305.0, endLine=305.0, startOffset=8.0, endOffset=25.0}	6min	AYNCzkDqop39vzmIn8vM	fdda711545f218af816f31bd2552958e	OPEN
CRITICAL	2022-09-15T17:18:59-0300		154.0	brydon@users.noreply.github.com	python:S3776	Keras_Tuner	8min	Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.	2022-03-01T02:51:04-0300	CODE_SMELL	false	"brain-overload / "	Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py	"{locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=158.0, endLine=158.0, startOffset=39.0, endOffset=41.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=159.0, endLine=159.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=166.0, endLine=166.0, startOffset=45.0, endOffset=47.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=172.0, endLine=172.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=172.0, endLine=172.0, startOffset=60.0, endOffset=62.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=174.0, endLine=174.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=178.0, endLine=178.0, startOffset=44.0, endOffset=46.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=181.0, endLine=181.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=183.0, endLine=183.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=189.0, endLine=189.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/tuners/sklearn_tuner.py, textRange={startLine=191.0, endLine=191.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / "	MAIN	{startLine=154.0, endLine=154.0, startOffset=8.0, endOffset=17.0}	8min	AYNCzkD0op39vzmIn8vX	4f7eba5315791f74f50c555b11ac3e8f	OPEN
CRITICAL	2022-09-15T17:18:59-0300		218.0	jhfjhfj1@gmail.com	python:S3776	Keras_Tuner	12min	Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.	2022-01-20T03:31:29-0300	CODE_SMELL	false	"brain-overload / "	Keras_Tuner:keras_tuner/engine/tuner_utils.py	"{locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=222.0, endLine=222.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=228.0, endLine=228.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=233.0, endLine=233.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=233.0, endLine=233.0, startOffset=58.0, endOffset=61.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=234.0, endLine=234.0, startOffset=34.0, endOffset=37.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=243.0, endLine=243.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=244.0, endLine=244.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=254.0, endLine=254.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=258.0, endLine=258.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=259.0, endLine=259.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=262.0, endLine=262.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=265.0, endLine=265.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Keras_Tuner:keras_tuner/engine/tuner_utils.py, textRange={startLine=268.0, endLine=268.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / "	MAIN	{startLine=218.0, endLine=218.0, startOffset=4.0, endOffset=27.0}	12min	AYNCzkC4op39vzmIn8u0	58703f7fd29dc9fe6579097cb1b70176	OPEN
CRITICAL	2022-09-15T17:18:59-0300		103.0	haifeng-jin@users.noreply.github.com	python:S1186	Keras_Tuner	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2022-01-11T00:06:00-0300	CODE_SMELL	false	"suspicious / "	Keras_Tuner:keras_tuner/engine/tuner_test.py		MAIN	{startLine=103.0, endLine=103.0, startOffset=8.0, endOffset=20.0}	5min	AYNCzkCwop39vzmIn8uv	2ed52079f1d7a070c4c1999e29c6efd7	OPEN
INFO	2022-09-15T17:18:59-0300		1188.0	haifeng-jin@users.noreply.github.com	python:S1135	Keras_Tuner	0min	"Complete the task associated to this ""TODO"" comment."	2022-01-11T00:06:00-0300	CODE_SMELL	false	"cwe / "	Keras_Tuner:keras_tuner/engine/tuner_test.py		MAIN	{startLine=1188.0, endLine=1188.0, startOffset=4.0, endOffset=29.0}	0min	AYNCzkCwop39vzmIn8uw	62a8ab9055d01e0e5b8aea5a71d9bf5b	OPEN
MAJOR	2022-09-15T17:18:59-0300		25.0	haifeng-jin@users.noreply.github.com	python:S1854	Keras_Tuner	15min	Remove this assignment to local variable 'obj'; the value is never used.	2022-01-06T01:43:29-0300	CODE_SMELL	false	"cwe / unused / "	Keras_Tuner:keras_tuner/engine/objective_test.py		MAIN	{startLine=25.0, endLine=25.0, startOffset=4.0, endOffset=48.0}	15min	AYNCzkCDop39vzmIn8uU	7ac3a1b0fbfb658b23e4cdc32b888e05	OPEN
CRITICAL	2022-09-15T17:18:59-0300		1718.0	haifeng-jin@users.noreply.github.com	python:S1192	Keras_Tuner	36min	"Define a constant instead of duplicating this literal ""keras_tuner.protos.keras_tuner_pb2"" 18 times."	2021-11-05T15:17:40-0300	CODE_SMELL	false	"design / "	Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py	"{locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1729.0, endLine=1729.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1740.0, endLine=1740.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1751.0, endLine=1751.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1762.0, endLine=1762.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1773.0, endLine=1773.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1788.0, endLine=1788.0, startOffset=30.0, endOffset=66.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1801.0, endLine=1801.0, startOffset=38.0, endOffset=74.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1806.0, endLine=1806.0, startOffset=30.0, endOffset=66.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1811.0, endLine=1811.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1825.0, endLine=1825.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1836.0, endLine=1836.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1851.0, endLine=1851.0, startOffset=30.0, endOffset=66.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1856.0, endLine=1856.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1872.0, endLine=1872.0, startOffset=30.0, endOffset=66.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1877.0, endLine=1877.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1893.0, endLine=1893.0, startOffset=30.0, endOffset=66.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/keras_tuner_pb2.py, textRange={startLine=1898.0, endLine=1898.0, startOffset=22.0, endOffset=58.0}, msg=Duplication}]} / "	MAIN	{startLine=1718.0, endLine=1718.0, startOffset=22.0, endOffset=58.0}	36min	AYNCzkEPop39vzmIn8v4	a1cbe79afd944c972ec754ae5358346b	OPEN
CRITICAL	2022-09-15T17:18:59-0300		724.0	haifeng-jin@users.noreply.github.com	python:S1192	Keras_Tuner	30min	"Define a constant instead of duplicating this literal ""keras_tuner.protos.service_pb2"" 15 times."	2021-11-05T15:17:40-0300	CODE_SMELL	false	"design / "	Keras_Tuner:keras_tuner/protos/service_pb2.py	"{locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=735.0, endLine=735.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=746.0, endLine=746.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=757.0, endLine=757.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=768.0, endLine=768.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=779.0, endLine=779.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=794.0, endLine=794.0, startOffset=30.0, endOffset=62.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=799.0, endLine=799.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=811.0, endLine=811.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=822.0, endLine=822.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=833.0, endLine=833.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=844.0, endLine=844.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=855.0, endLine=855.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=866.0, endLine=866.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2.py, textRange={startLine=877.0, endLine=877.0, startOffset=22.0, endOffset=54.0}, msg=Duplication}]} / "	MAIN	{startLine=724.0, endLine=724.0, startOffset=22.0, endOffset=54.0}	30min	AYNCzkEUop39vzmIn8v5	6b705a9ee2821a356135c892d4e2ea54	OPEN
CRITICAL	2022-09-15T17:18:59-0300		76.0	haifeng-jin@users.noreply.github.com	python:S1192	Keras_Tuner	28min	"Define a constant instead of duplicating this literal ""Method not implemented!"" 14 times."	2021-11-05T15:17:40-0300	CODE_SMELL	false	"design / "	Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py	"{locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=77.0, endLine=77.0, startOffset=34.0, endOffset=59.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=82.0, endLine=82.0, startOffset=28.0, endOffset=53.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=83.0, endLine=83.0, startOffset=34.0, endOffset=59.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=88.0, endLine=88.0, startOffset=28.0, endOffset=53.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=89.0, endLine=89.0, startOffset=34.0, endOffset=59.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=94.0, endLine=94.0, startOffset=28.0, endOffset=53.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=95.0, endLine=95.0, startOffset=34.0, endOffset=59.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=100.0, endLine=100.0, startOffset=28.0, endOffset=53.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=101.0, endLine=101.0, startOffset=34.0, endOffset=59.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=106.0, endLine=106.0, startOffset=28.0, endOffset=53.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=107.0, endLine=107.0, startOffset=34.0, endOffset=59.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=112.0, endLine=112.0, startOffset=28.0, endOffset=53.0}, msg=Duplication}]} / {locations=[{component=Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py, textRange={startLine=113.0, endLine=113.0, startOffset=34.0, endOffset=59.0}, msg=Duplication}]} / "	MAIN	{startLine=76.0, endLine=76.0, startOffset=28.0, endOffset=53.0}	28min	AYNCzkEJop39vzmIn8va	d6a5b02a561fc4097bc9aab7635c3c18	OPEN
MINOR	2022-09-15T17:18:59-0300		165.0	haifeng-jin@users.noreply.github.com	python:S100	Keras_Tuner	5min	"Rename method ""GetSpace"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2021-11-05T15:17:40-0300	CODE_SMELL	false	"convention / "	Keras_Tuner:keras_tuner/protos/service_pb2_grpc.py		MAIN	{startLine=165.0, endLine=165.0, startOffset=8.0, endOffset=16.0}	5min	AYNCzkEJop39vzmIn8vx	e8613df3f9bb666710d8c6c70db055d1	OPEN
