severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T13:44:00-0300		43.0		python:S1542	MXNet	10min	"Rename function ""assertRaises"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2022-09-15T13:44:00-0300	CODE_SMELL	false	"convention / "	MXNet:tests/python/quantization/common.py		MAIN	{startLine=43.0, endLine=43.0, startOffset=4.0, endOffset=16.0}	10min	AYNCCpe2op39vzmIg6Dl	010c73ad4d2054f2362400aeb11e8233	OPEN
MINOR	2022-09-15T13:44:00-0300		46.0		python:S1481	MXNet	5min	"Remove the unused local variable ""e""."	2022-09-15T13:44:00-0300	CODE_SMELL	false	"unused / "	MXNet:tests/python/quantization/common.py		MAIN	{startLine=46.0, endLine=46.0, startOffset=33.0, endOffset=34.0}	5min	AYNCCpe2op39vzmIg6Dm	f730b88e41c2970e98ddf3d1f0ffe7ea	OPEN
CRITICAL	2022-09-15T13:44:00-0300		203.0		python:S5754	MXNet	5min	Specify an exception class to catch or reraise the exception	2022-09-15T13:44:00-0300	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	MXNet:tests/python/quantization/common.py		MAIN	{startLine=203.0, endLine=203.0, startOffset=4.0, endOffset=10.0}	5min	AYNCCpe2op39vzmIg6Dn	3e264f5fbab10735799511f21ca70842	OPEN
INFO	2022-09-15T13:44:00-0300		220.0		python:S1135	MXNet	0min	"Complete the task associated to this ""TODO"" comment."	2022-09-15T13:44:00-0300	CODE_SMELL	false	"cwe / "	MXNet:tests/python/quantization/common.py		MAIN	{startLine=220.0, endLine=220.0, startOffset=4.0, endOffset=36.0}	0min	AYNCCpe2op39vzmIg6Do	7992cff0a846afd4c6aa5a6603c42994	OPEN
CRITICAL	2022-09-15T13:44:00-0300		802.0	bartlomiej.gawrych@intel.com	python:S3776	MXNet	43min	Refactor this function to reduce its Cognitive Complexity from 53 to the 15 allowed.	2022-04-06T04:59:07-0300	CODE_SMELL	false	"brain-overload / "	MXNet:python/mxnet/contrib/quantization.py	"{locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=869.0, endLine=869.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=875.0, endLine=875.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=876.0, endLine=876.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=879.0, endLine=879.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=882.0, endLine=882.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=885.0, endLine=885.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=888.0, endLine=888.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=891.0, endLine=891.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=898.0, endLine=898.0, startOffset=19.0, endOffset=21.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=901.0, endLine=901.0, startOffset=4.0, endOffset=9.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=904.0, endLine=904.0, startOffset=8.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=905.0, endLine=905.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=915.0, endLine=915.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=921.0, endLine=921.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=925.0, endLine=925.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=927.0, endLine=927.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=929.0, endLine=929.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=932.0, endLine=932.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=934.0, endLine=934.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=936.0, endLine=936.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=938.0, endLine=938.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=939.0, endLine=939.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=940.0, endLine=940.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=942.0, endLine=942.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=952.0, endLine=952.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=952.0, endLine=952.0, startOffset=30.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=953.0, endLine=953.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=956.0, endLine=956.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=959.0, endLine=959.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=962.0, endLine=962.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=970.0, endLine=970.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=977.0, endLine=977.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=979.0, endLine=979.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=979.0, endLine=979.0, startOffset=32.0, endOffset=35.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/contrib/quantization.py, textRange={startLine=983.0, endLine=983.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / "	MAIN	{startLine=802.0, endLine=802.0, startOffset=4.0, endOffset=16.0}	43min	AYNCCpAIop39vzmIg5oY	9b94f96a7ff9a3f1eb1faa464b042880	OPEN
CRITICAL	2022-09-15T13:44:00-0300		431.0	pawel.glomski@intel.com	python:S3776	MXNet	8min	Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.	2022-03-31T04:42:36-0300	CODE_SMELL	false	"brain-overload / "	MXNet:python/mxnet/amp/amp.py	"{locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=474.0, endLine=474.0, startOffset=36.0, endOffset=38.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=476.0, endLine=476.0, startOffset=28.0, endOffset=30.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=478.0, endLine=478.0, startOffset=40.0, endOffset=42.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=485.0, endLine=485.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=487.0, endLine=487.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=491.0, endLine=491.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=494.0, endLine=494.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=496.0, endLine=496.0, startOffset=71.0, endOffset=74.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=502.0, endLine=502.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=506.0, endLine=506.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=507.0, endLine=507.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=510.0, endLine=510.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=512.0, endLine=512.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=545.0, endLine=545.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / "	MAIN	{startLine=431.0, endLine=431.0, startOffset=4.0, endOffset=18.0}	8min	AYNCCo2Wop39vzmIg5kA	948bf7585348657869ddf465eb25d378	OPEN
CRITICAL	2022-09-15T13:44:00-0300		728.0	pawel.glomski@intel.com	python:S1192	MXNet	14min	"Define a constant instead of duplicating this literal ""not supported type"" 7 times."	2022-03-31T04:42:36-0300	CODE_SMELL	false	"design / "	MXNet:python/mxnet/amp/amp.py	"{locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=737.0, endLine=737.0, startOffset=63.0, endOffset=83.0}, msg=Duplication}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=746.0, endLine=746.0, startOffset=63.0, endOffset=83.0}, msg=Duplication}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=755.0, endLine=755.0, startOffset=63.0, endOffset=83.0}, msg=Duplication}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=764.0, endLine=764.0, startOffset=63.0, endOffset=83.0}, msg=Duplication}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=773.0, endLine=773.0, startOffset=63.0, endOffset=83.0}, msg=Duplication}]} / {locations=[{component=MXNet:python/mxnet/amp/amp.py, textRange={startLine=783.0, endLine=783.0, startOffset=63.0, endOffset=83.0}, msg=Duplication}]} / "	MAIN	{startLine=728.0, endLine=728.0, startOffset=63.0, endOffset=83.0}	14min	AYNCCo2Wop39vzmIg5j5	3a0c7128e281e465338eb3f6cd20e20c	OPEN
CRITICAL	2022-09-15T13:44:00-0300		1855.0	pawel.glomski@intel.com	python:S3776	MXNet	17min	Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.	2022-03-31T04:42:36-0300	CODE_SMELL	false	"brain-overload / "	MXNet:python/mxnet/gluon/block.py	"{locations=[{component=MXNet:python/mxnet/gluon/block.py, textRange={startLine=1858.0, endLine=1858.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/block.py, textRange={startLine=1862.0, endLine=1862.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/block.py, textRange={startLine=1863.0, endLine=1863.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/block.py, textRange={startLine=1867.0, endLine=1867.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/block.py, textRange={startLine=1869.0, endLine=1869.0, startOffset=24.0, endOffset=27.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/block.py, textRange={startLine=1871.0, endLine=1871.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/block.py, textRange={startLine=1876.0, endLine=1876.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/block.py, textRange={startLine=1878.0, endLine=1878.0, startOffset=24.0, endOffset=27.0}, msg=+5 (incl 4 for nesting)}]} / "	MAIN	{startLine=1855.0, endLine=1855.0, startOffset=8.0, endOffset=12.0}	17min	AYNCCox9op39vzmIg5iY	501701c1ab84d82a3b56c61e82aef52a	OPEN
CRITICAL	2022-09-15T13:44:00-0300		270.0	pawel.glomski@intel.com	python:S3776	MXNet	16min	Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.	2022-03-31T04:42:36-0300	CODE_SMELL	false	"brain-overload / "	MXNet:python/mxnet/gluon/parameter.py	"{locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=286.0, endLine=286.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=288.0, endLine=288.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=289.0, endLine=289.0, startOffset=34.0, endOffset=36.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=290.0, endLine=290.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=295.0, endLine=295.0, startOffset=33.0, endOffset=35.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=297.0, endLine=297.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=298.0, endLine=298.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=298.0, endLine=298.0, startOffset=26.0, endOffset=29.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=299.0, endLine=299.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=301.0, endLine=301.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=303.0, endLine=303.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=309.0, endLine=309.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=311.0, endLine=311.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=313.0, endLine=313.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=314.0, endLine=314.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=315.0, endLine=315.0, startOffset=38.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=320.0, endLine=320.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=323.0, endLine=323.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/gluon/parameter.py, textRange={startLine=324.0, endLine=324.0, startOffset=34.0, endOffset=36.0}, msg=+1}]} / "	MAIN	{startLine=270.0, endLine=270.0, startOffset=8.0, endOffset=18.0}	16min	AYNCCoytop39vzmIg5ia	f6eed7e26f4c4f876b171e9548f8a33b	OPEN
CRITICAL	2022-09-15T13:44:00-0300		1015.0	pawel.glomski@intel.com	python:S3776	MXNet	9min	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.	2022-03-31T04:42:36-0300	CODE_SMELL	false	"brain-overload / "	MXNet:python/mxnet/symbol/symbol.py	"{locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1018.0, endLine=1018.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1018.0, endLine=1018.0, startOffset=26.0, endOffset=29.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1022.0, endLine=1022.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1024.0, endLine=1024.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1025.0, endLine=1025.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1027.0, endLine=1027.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1029.0, endLine=1029.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1031.0, endLine=1031.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1032.0, endLine=1032.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1044.0, endLine=1044.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1046.0, endLine=1046.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1060.0, endLine=1060.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MXNet:python/mxnet/symbol/symbol.py, textRange={startLine=1065.0, endLine=1065.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / "	MAIN	{startLine=1015.0, endLine=1015.0, startOffset=8.0, endOffset=24.0}	9min	AYNCCo4mop39vzmIg5lQ	77f233387c548b50e55c1e7205c66fee	OPEN
