severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T17:19:54-0300		12.0	filipmolcik@filips-macbook-air.local	python:PrintStatementUsage	Neuron	5min	Replace print statement by built-in function.	2016-07-11T05:24:19-0300	CODE_SMELL	false	"obsolete / python3 / "	Neuron:Logging.py		MAIN	{startLine=12.0, endLine=12.0, startOffset=6.0, endOffset=11.0}	5min	AYNCzvVMop39vzmIn-CZ	ec2b8994827233bbf0d7a83b597e3b22	OPEN
MAJOR	2022-09-15T17:19:54-0300		15.0	filipmolcik@filips-macbook-air.local	python:PrintStatementUsage	Neuron	5min	Replace print statement by built-in function.	2016-07-11T05:24:19-0300	CODE_SMELL	false	"obsolete / python3 / "	Neuron:Logging.py		MAIN	{startLine=15.0, endLine=15.0, startOffset=6.0, endOffset=11.0}	5min	AYNCzvVMop39vzmIn-Ca	ec2b8994827233bbf0d7a83b597e3b22	OPEN
MINOR	2022-09-15T17:19:54-0300		270.0	filipmolcik@filips-macbook-air.local	python:S117	Neuron	2min	"Rename this local variable ""Nw"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2016-07-11T05:24:19-0300	CODE_SMELL	false	"convention / "	Neuron:Neuron.py		MAIN	{startLine=270.0, endLine=270.0, startOffset=6.0, endOffset=8.0}	2min	AYNCzvVAop39vzmIn-B2	1e92031801cc12537a64bac1bdd54823	OPEN
CRITICAL	2022-09-15T17:19:54-0300		3.0	filipmolcik@filips-macbook-air.local	python:S2208	Neuron	5min	Import only needed names or import the module and then use its members.	2016-07-11T05:15:08-0300	CODE_SMELL	false	"pitfall / "	Neuron:Neuron.py		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=19.0}	5min	AYNCzvVAop39vzmIn-Bb	d19c6396e051f6431084beba4c36ca3b	OPEN
MINOR	2022-09-15T17:19:54-0300		21.0	filipmolcik@filips-macbook-air.local	python:S117	Neuron	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2016-07-11T05:15:08-0300	CODE_SMELL	false	"convention / "	Neuron:Neuron.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=26.0, endOffset=27.0}	2min	AYNCzvVAop39vzmIn-Bd	c4870af95a670db9c53cd6b134f5f320	OPEN
MINOR	2022-09-15T17:19:54-0300		21.0	filipmolcik@filips-macbook-air.local	python:S117	Neuron	2min	"Rename this parameter ""Y"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2016-07-11T05:15:08-0300	CODE_SMELL	false	"convention / "	Neuron:Neuron.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=23.0, endOffset=24.0}	2min	AYNCzvVAop39vzmIn-Be	c4870af95a670db9c53cd6b134f5f320	OPEN
MINOR	2022-09-15T17:19:54-0300		21.0	filipmolcik@filips-macbook-air.local	python:S100	Neuron	5min	"Rename method ""countSerie"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2016-07-11T05:15:08-0300	CODE_SMELL	false	"convention / "	Neuron:Neuron.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=6.0, endOffset=16.0}	5min	AYNCzvVAop39vzmIn-Bf	c4870af95a670db9c53cd6b134f5f320	OPEN
MAJOR	2022-09-15T17:19:54-0300		48.0	filipmolcik@filips-macbook-air.local	python:PrintStatementUsage	Neuron	5min	Replace print statement by built-in function.	2016-07-11T05:15:08-0300	CODE_SMELL	false	"obsolete / python3 / "	Neuron:Neuron.py		MAIN	{startLine=48.0, endLine=48.0, startOffset=6.0, endOffset=11.0}	5min	AYNCzvVAop39vzmIn-Bg	6f23aac437e42097efa5368aaf12f0e9	OPEN
MAJOR	2022-09-15T17:19:54-0300		51.0	filipmolcik@filips-macbook-air.local	python:PrintStatementUsage	Neuron	5min	Replace print statement by built-in function.	2016-07-11T05:15:08-0300	CODE_SMELL	false	"obsolete / python3 / "	Neuron:Neuron.py		MAIN	{startLine=51.0, endLine=51.0, startOffset=6.0, endOffset=11.0}	5min	AYNCzvVAop39vzmIn-Bh	6f23aac437e42097efa5368aaf12f0e9	OPEN
MINOR	2022-09-15T17:19:54-0300		54.0	filipmolcik@filips-macbook-air.local	python:S117	Neuron	2min	"Rename this local variable ""Wall"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2016-07-11T05:15:08-0300	CODE_SMELL	false	"convention / "	Neuron:Neuron.py		MAIN	{startLine=54.0, endLine=54.0, startOffset=4.0, endOffset=8.0}	2min	AYNCzvVAop39vzmIn-Bc	bc633be390847155e22a1bf3516faab8	OPEN
