severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-16T16:46:12-0300		67.0	bhart@rsg5373arryhart.rsg.lan	python:S1192	Petrel	6min	Define a constant instead of duplicating this literal 'storm.thrift' 3 times.	2016-12-02T18:05:12-0300	CODE_SMELL	false	"design / "	Petrel:petrel/setup.py	"{locations=[{component=Petrel:petrel/setup.py, textRange={startLine=72.0, endLine=72.0, startOffset=64.0, endOffset=78.0}, msg=Duplication}]} / {locations=[{component=Petrel:petrel/setup.py, textRange={startLine=73.0, endLine=73.0, startOffset=14.0, endOffset=28.0}, msg=Duplication}]} / "	MAIN	{startLine=67.0, endLine=67.0, startOffset=14.0, endOffset=28.0}	6min	AYNH1nfZ-6gM0eQprsWD	1ea88e6b5c56b0b451d02c7d0e9892a3	OPEN
MAJOR	2022-09-16T16:46:12-0300		41.0	bhart@rsg5373arryhart.rsg.lan	python:S1066	Petrel	5min	Merge this if statement with the enclosing one.	2016-12-02T17:42:03-0300	CODE_SMELL	false	"clumsy / "	Petrel:petrel/petrel/topologybuilder.py	"{locations=[{component=Petrel:petrel/petrel/topologybuilder.py, textRange={startLine=40.0, endLine=40.0, startOffset=8.0, endOffset=10.0}, msg=enclosing}]} / "	MAIN	{startLine=41.0, endLine=41.0, startOffset=12.0, endOffset=14.0}	5min	AYNH1nfV-6gM0eQprsVW	3d1fdaa17c6d04d4c19e4d79d505a986	OPEN
MINOR	2022-09-16T16:46:12-0300		84.0	bhart@rsg5373arryhart.rsg.lan	python:S117	Petrel	2min	"Rename this local variable ""boltId"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2016-12-02T17:42:03-0300	CODE_SMELL	false	"convention / "	Petrel:petrel/petrel/topologybuilder.py		MAIN	{startLine=84.0, endLine=84.0, startOffset=12.0, endOffset=18.0}	2min	AYNH1nfV-6gM0eQprsVb	1769a00cd2401a2f5a56f7f435b08e83	OPEN
MINOR	2022-09-16T16:46:12-0300		94.0	bhart@rsg5373arryhart.rsg.lan	python:S117	Petrel	2min	"Rename this local variable ""spoutId"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2016-12-02T17:42:03-0300	CODE_SMELL	false	"convention / "	Petrel:petrel/petrel/topologybuilder.py		MAIN	{startLine=94.0, endLine=94.0, startOffset=12.0, endOffset=19.0}	2min	AYNH1nfV-6gM0eQprsVd	7e260f8bc434db5287c1cd30e25b3efc	OPEN
MINOR	2022-09-16T16:46:12-0300		114.0	bhart@rsg5373arryhart.rsg.lan	python:S117	Petrel	2min	"Rename this local variable ""transportOut"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2016-12-02T17:42:03-0300	CODE_SMELL	false	"convention / "	Petrel:petrel/petrel/topologybuilder.py		MAIN	{startLine=114.0, endLine=114.0, startOffset=12.0, endOffset=24.0}	2min	AYNH1nfV-6gM0eQprsVh	9eca5d618b8d9ae5e26457331d2e9b47	OPEN
MINOR	2022-09-16T16:46:12-0300		132.0	bhart@rsg5373arryhart.rsg.lan	python:S117	Petrel	2min	"Rename this local variable ""transportIn"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2016-12-02T17:42:03-0300	CODE_SMELL	false	"convention / "	Petrel:petrel/petrel/topologybuilder.py		MAIN	{startLine=132.0, endLine=132.0, startOffset=12.0, endOffset=23.0}	2min	AYNH1nfV-6gM0eQprsVk	71db5c2c445c04b861d9c294a4a3e41e	OPEN
CRITICAL	2022-09-16T16:46:12-0300		28.0	bhart@rsg5373arryhart.rsg.lan	python:S3776	Petrel	9min	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.	2016-12-02T15:50:42-0300	CODE_SMELL	false	"brain-overload / "	Petrel:petrel/petrel/status.py	"{locations=[{component=Petrel:petrel/petrel/status.py, textRange={startLine=32.0, endLine=32.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Petrel:petrel/petrel/status.py, textRange={startLine=35.0, endLine=35.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Petrel:petrel/petrel/status.py, textRange={startLine=35.0, endLine=35.0, startOffset=30.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=Petrel:petrel/petrel/status.py, textRange={startLine=37.0, endLine=37.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Petrel:petrel/petrel/status.py, textRange={startLine=37.0, endLine=37.0, startOffset=28.0, endOffset=31.0}, msg=+1}]} / {locations=[{component=Petrel:petrel/petrel/status.py, textRange={startLine=40.0, endLine=40.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Petrel:petrel/petrel/status.py, textRange={startLine=54.0, endLine=54.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Petrel:petrel/petrel/status.py, textRange={startLine=56.0, endLine=56.0, startOffset=16.0, endOffset=19.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Petrel:petrel/petrel/status.py, textRange={startLine=69.0, endLine=69.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Petrel:petrel/petrel/status.py, textRange={startLine=71.0, endLine=71.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=25.0}	9min	AYNH1nex-6gM0eQprsUW	41013c294f86ee7909f53f965f9470e8	OPEN
MINOR	2022-09-16T16:46:12-0300		195.0	bhart@rsg5373arryhart.rsg.lan	python:S117	Petrel	2min	"Rename this parameter ""directTask"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2016-12-02T14:04:09-0300	CODE_SMELL	false	"convention / "	Petrel:petrel/petrel/storm.py		MAIN	{startLine=195.0, endLine=195.0, startOffset=48.0, endOffset=58.0}	2min	AYNH1ne--6gM0eQprsU7	4734326afbcf7e6c97230d932b67c07e	OPEN
MAJOR	2022-09-16T16:46:12-0300		195.0	bhart@rsg5373arryhart.rsg.lan	python:S1542	Petrel	10min	"Rename function ""emitManySpout"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2016-12-02T14:04:09-0300	CODE_SMELL	false	"convention / "	Petrel:petrel/petrel/storm.py		MAIN	{startLine=195.0, endLine=195.0, startOffset=4.0, endOffset=17.0}	10min	AYNH1ne--6gM0eQprsU8	4734326afbcf7e6c97230d932b67c07e	OPEN
CRITICAL	2022-09-16T16:46:12-0300		387.0	bhart@rsg5373arryhart.rsg.lan	python:S3776	Petrel	8min	Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.	2016-12-02T14:04:09-0300	CODE_SMELL	false	"brain-overload / "	Petrel:petrel/petrel/storm.py	"{locations=[{component=Petrel:petrel/petrel/storm.py, textRange={startLine=394.0, endLine=394.0, startOffset=12.0, endOffset=17.0}, msg=+1}]} / {locations=[{component=Petrel:petrel/petrel/storm.py, textRange={startLine=395.0, endLine=395.0, startOffset=16.0, endOffset=18.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Petrel:petrel/petrel/storm.py, textRange={startLine=397.0, endLine=397.0, startOffset=16.0, endOffset=18.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Petrel:petrel/petrel/storm.py, textRange={startLine=399.0, endLine=399.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Petrel:petrel/petrel/storm.py, textRange={startLine=400.0, endLine=400.0, startOffset=20.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Petrel:petrel/petrel/storm.py, textRange={startLine=403.0, endLine=403.0, startOffset=20.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Petrel:petrel/petrel/storm.py, textRange={startLine=405.0, endLine=405.0, startOffset=20.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Petrel:petrel/petrel/storm.py, textRange={startLine=406.0, endLine=406.0, startOffset=8.0, endOffset=14.0}, msg=+1}]} / {locations=[{component=Petrel:petrel/petrel/storm.py, textRange={startLine=410.0, endLine=410.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=387.0, endLine=387.0, startOffset=8.0, endOffset=11.0}	8min	AYNH1ne--6gM0eQprsVJ	ec227b0544ae49167c5934f4f717fe97	OPEN
