severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2022-06-19T17:15:51-0300		136.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""C"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=136.0, endLine=136.0, startOffset=67.0, endOffset=68.0}	2min	AYF9nDKF-os8lNRVRyJ0	c55717663652f815b12011655047f9fd	OPEN
MINOR	2022-06-19T17:15:51-0300		136.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""H"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=136.0, endLine=136.0, startOffset=64.0, endOffset=65.0}	2min	AYF9nDKF-os8lNRVRyJ1	c55717663652f815b12011655047f9fd	OPEN
MINOR	2022-06-19T17:15:51-0300		136.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=136.0, endLine=136.0, startOffset=36.0, endOffset=37.0}	2min	AYF9nDKF-os8lNRVRyJ2	c55717663652f815b12011655047f9fd	OPEN
MINOR	2022-06-19T17:15:51-0300		143.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""C"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=143.0, endLine=143.0, startOffset=68.0, endOffset=69.0}	2min	AYF9nDKF-os8lNRVRyJ3	38086cf3d77cfe7de69babf489ce6fde	OPEN
MINOR	2022-06-19T17:15:51-0300		143.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""H"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=143.0, endLine=143.0, startOffset=65.0, endOffset=66.0}	2min	AYF9nDKF-os8lNRVRyJ4	38086cf3d77cfe7de69babf489ce6fde	OPEN
MINOR	2022-06-19T17:15:51-0300		143.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=143.0, endLine=143.0, startOffset=37.0, endOffset=38.0}	2min	AYF9nDKF-os8lNRVRyJ5	38086cf3d77cfe7de69babf489ce6fde	OPEN
MINOR	2022-06-19T17:15:51-0300		150.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=150.0, endLine=150.0, startOffset=36.0, endOffset=37.0}	2min	AYF9nDKF-os8lNRVRyJ-	4dff43eb02b12550458db9b4b67ed23e	OPEN
MINOR	2022-06-19T17:15:51-0300		150.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""C"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=150.0, endLine=150.0, startOffset=67.0, endOffset=68.0}	2min	AYF9nDKF-os8lNRVRyJ6	4dff43eb02b12550458db9b4b67ed23e	OPEN
MINOR	2022-06-19T17:15:51-0300		150.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""F"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=150.0, endLine=150.0, startOffset=73.0, endOffset=74.0}	2min	AYF9nDKF-os8lNRVRyJ7	4dff43eb02b12550458db9b4b67ed23e	OPEN
MINOR	2022-06-19T17:15:51-0300		150.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""H"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=150.0, endLine=150.0, startOffset=64.0, endOffset=65.0}	2min	AYF9nDKF-os8lNRVRyJ8	4dff43eb02b12550458db9b4b67ed23e	OPEN
MINOR	2022-06-19T17:15:51-0300		150.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""I"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=150.0, endLine=150.0, startOffset=70.0, endOffset=71.0}	2min	AYF9nDKF-os8lNRVRyJ9	4dff43eb02b12550458db9b4b67ed23e	OPEN
MINOR	2022-06-19T17:15:51-0300		158.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""C"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=158.0, endLine=158.0, startOffset=68.0, endOffset=69.0}	2min	AYF9nDKF-os8lNRVRyJ_	26091683d2a29479858673e39c87bda3	OPEN
MINOR	2022-06-19T17:15:51-0300		158.0	gravina.alessio@gmail.com	python:S117	PyTorch_Geometric_Temporal	2min	"Rename this parameter ""H"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-03-31T12:04:47-0300	CODE_SMELL	false	"convention / "	PyTorch_Geometric_Temporal:torch_geometric_temporal/nn/recurrent/gc_lstm.py		MAIN	{startLine=158.0, endLine=158.0, startOffset=65.0, endOffset=66.0}	2min	AYF9nDKF-os8lNRVRyKA	26091683d2a29479858673e39c87bda3	OPEN
