severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T17:26:59-0300		39.0	peterz@openai.com	python:S3776	Roboschool	14min	Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.	2019-02-16T01:34:33-0300	CODE_SMELL	false	"brain-overload / "	Roboschool:roboschool/gym_mujoco_xml_env.py	"{locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=40.0, endLine=40.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=42.0, endLine=42.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=52.0, endLine=52.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=53.0, endLine=53.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=54.0, endLine=54.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=57.0, endLine=57.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=58.0, endLine=58.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=60.0, endLine=60.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=63.0, endLine=63.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=64.0, endLine=64.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=65.0, endLine=65.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Roboschool:roboschool/gym_mujoco_xml_env.py, textRange={startLine=73.0, endLine=73.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / "	MAIN	{startLine=39.0, endLine=39.0, startOffset=8.0, endOffset=13.0}	14min	AYNC1bZIop39vzmIoLb6	7b871f32867050cc0dde2a8c588ac2de	OPEN
CRITICAL	2022-09-15T17:26:59-0300		33.0	peterz@openai.com	python:S1186	Roboschool	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2018-12-04T15:12:03-0300	CODE_SMELL	false	"suspicious / "	Roboschool:setup.py		MAIN	{startLine=33.0, endLine=33.0, startOffset=7.0, endOffset=10.0}	5min	AYNC1bZ-op39vzmIoLcp	ec227b0544ae49167c5934f4f717fe97	OPEN
MINOR	2022-09-15T17:26:59-0300		19.0	omgtech@gmail.com	python:S1481	Roboschool	5min	"Remove the unused local variable ""sess""."	2017-07-17T20:28:23-0300	CODE_SMELL	false	"unused / "	Roboschool:agent_zoo/demo_keyboard_humanoid1.py		MAIN	{startLine=19.0, endLine=19.0, startOffset=4.0, endOffset=8.0}	5min	AYNC1bYeop39vzmIoLbq	f46a4d8cdb688418bc9ab2170fca3fe8	OPEN
MAJOR	2022-09-15T17:26:59-0300		28.0	omgtech@gmail.com	python:S1172	Roboschool	5min	"Remove the unused function parameter ""modifiers""."	2017-07-17T20:28:23-0300	CODE_SMELL	false	"unused / "	Roboschool:agent_zoo/demo_keyboard_humanoid1.py		MAIN	{startLine=28.0, endLine=28.0, startOffset=39.0, endOffset=48.0}	5min	AYNC1bYeop39vzmIoLbr	7e1340ab1caa089d9ad310b856b0f40e	OPEN
MAJOR	2022-09-15T17:26:59-0300		37.0	omgtech@gmail.com	python:S1854	Roboschool	15min	Remove this assignment to local variable 'still_open'; the value is never used.	2017-07-17T20:28:23-0300	CODE_SMELL	false	"cwe / unused / "	Roboschool:agent_zoo/demo_keyboard_humanoid1.py		MAIN	{startLine=37.0, endLine=37.0, startOffset=4.0, endOffset=36.0}	15min	AYNC1bYeop39vzmIoLbp	c599f391f372131e6e8d644edd7044e6	OPEN
MINOR	2022-09-15T17:26:59-0300		63.0	omgtech@gmail.com	python:S1481	Roboschool	5min	"Remove the unused local variable ""sess""."	2017-07-17T20:28:23-0300	CODE_SMELL	false	"unused / "	Roboschool:agent_zoo/demo_keyboard_humanoid2.py		MAIN	{startLine=63.0, endLine=63.0, startOffset=4.0, endOffset=8.0}	5min	AYNC1bXOop39vzmIoLa9	f46a4d8cdb688418bc9ab2170fca3fe8	OPEN
MAJOR	2022-09-15T17:26:59-0300		72.0	omgtech@gmail.com	python:S125	Roboschool	5min	Remove this commented out code.	2017-07-17T17:42:09-0300	CODE_SMELL	false	"unused / "	Roboschool:agent_zoo/RoboschoolAtlasForwardWalk_v1_2017jul.py		MAIN	{startLine=72.0, endLine=72.0, startOffset=21.0, endOffset=44.0}	5min	AYNC1bYJop39vzmIoLbU	034da471f25ae1e6f01cd24b146035ec	OPEN
CRITICAL	2022-09-15T17:26:59-0300		75.0	omgtech@gmail.com	python:S3776	Roboschool	9min	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.	2017-07-17T17:42:09-0300	CODE_SMELL	false	"brain-overload / "	Roboschool:agent_zoo/RoboschoolAtlasForwardWalk_v1_2017jul.py	"{locations=[{component=Roboschool:agent_zoo/RoboschoolAtlasForwardWalk_v1_2017jul.py, textRange={startLine=86.0, endLine=86.0, startOffset=4.0, endOffset=9.0}, msg=+1}]} / {locations=[{component=Roboschool:agent_zoo/RoboschoolAtlasForwardWalk_v1_2017jul.py, textRange={startLine=92.0, endLine=92.0, startOffset=8.0, endOffset=13.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Roboschool:agent_zoo/RoboschoolAtlasForwardWalk_v1_2017jul.py, textRange={startLine=100.0, endLine=100.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Roboschool:agent_zoo/RoboschoolAtlasForwardWalk_v1_2017jul.py, textRange={startLine=102.0, endLine=102.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Roboschool:agent_zoo/RoboschoolAtlasForwardWalk_v1_2017jul.py, textRange={startLine=103.0, endLine=103.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Roboschool:agent_zoo/RoboschoolAtlasForwardWalk_v1_2017jul.py, textRange={startLine=105.0, endLine=105.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Roboschool:agent_zoo/RoboschoolAtlasForwardWalk_v1_2017jul.py, textRange={startLine=108.0, endLine=108.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / "	MAIN	{startLine=75.0, endLine=75.0, startOffset=4.0, endOffset=12.0}	9min	AYNC1bYJop39vzmIoLbW	a439d0e28d9922510781d7ad8c362910	OPEN
MINOR	2022-09-15T17:26:59-0300		80.0	omgtech@gmail.com	python:S1481	Roboschool	5min	"Remove the unused local variable ""sess""."	2017-07-17T17:42:09-0300	CODE_SMELL	false	"unused / "	Roboschool:agent_zoo/RoboschoolAtlasForwardWalk_v1_2017jul.py		MAIN	{startLine=80.0, endLine=80.0, startOffset=4.0, endOffset=8.0}	5min	AYNC1bYJop39vzmIoLbV	f46a4d8cdb688418bc9ab2170fca3fe8	OPEN
CRITICAL	2022-09-15T17:26:59-0300		151.0	omgtech@gmail.com	python:S5797	Roboschool	2min	Replace this expression; used as a condition it will always be constant.	2017-07-17T17:31:50-0300	CODE_SMELL	false	"suspicious / "	Roboschool:roboschool/gym_forward_walker.py		MAIN	{startLine=151.0, endLine=151.0, startOffset=11.0, endOffset=12.0}	2min	AYNC1bZbop39vzmIoLcL	01cd37726b4b3feb97773b5e3e5dea4a	OPEN
