severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T17:32:29-0300		44.0	jachiam@berkeley.edu	python:S107	Spinning_Up	20min	"Function ""ddpg"" has 20 parameters, which is greater than the 13 authorized."	2020-01-30T13:09:39-0300	CODE_SMELL	false	"brain-overload / "	Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py		MAIN	{startLine=44.0, endLine=48.0, startOffset=9.0, endOffset=59.0}	20min	AYNC2peOop39vzmIog3c	a2a3d3ea3512bf50d02918d702a88430	OPEN
CRITICAL	2022-09-15T17:32:29-0300		44.0	jachiam@berkeley.edu	python:S3776	Spinning_Up	24min	Refactor this function to reduce its Cognitive Complexity from 34 to the 15 allowed.	2020-01-30T13:09:39-0300	CODE_SMELL	false	"brain-overload / "	Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py	"{locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=151.0, endLine=151.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=202.0, endLine=202.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=212.0, endLine=212.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=220.0, endLine=220.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=232.0, endLine=232.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=234.0, endLine=234.0, startOffset=12.0, endOffset=17.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=234.0, endLine=234.0, startOffset=24.0, endOffset=26.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=247.0, endLine=247.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=252.0, endLine=252.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=254.0, endLine=254.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=265.0, endLine=265.0, startOffset=18.0, endOffset=20.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=275.0, endLine=275.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=275.0, endLine=275.0, startOffset=13.0, endOffset=15.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=280.0, endLine=280.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=280.0, endLine=280.0, startOffset=29.0, endOffset=32.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=281.0, endLine=281.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=286.0, endLine=286.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=290.0, endLine=290.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py, textRange={startLine=290.0, endLine=290.0, startOffset=40.0, endOffset=42.0}, msg=+1}]} / "	MAIN	{startLine=44.0, endLine=44.0, startOffset=4.0, endOffset=8.0}	24min	AYNC2peOop39vzmIog3d	a2a3d3ea3512bf50d02918d702a88430	OPEN
MINOR	2022-09-15T17:32:29-0300		232.0	jachiam@berkeley.edu	python:S1481	Spinning_Up	5min	"Remove the unused local variable ""j""."	2020-01-30T13:09:39-0300	CODE_SMELL	false	"unused / "	Spinning_Up:spinup/algos/pytorch/ddpg/ddpg.py		MAIN	{startLine=232.0, endLine=232.0, startOffset=12.0, endOffset=13.0}	5min	AYNC2peOop39vzmIog3e	7512b66d663f32eae77144e23a216b69	OPEN
MAJOR	2022-09-15T17:32:29-0300		88.0	jachiam@berkeley.edu	python:S107	Spinning_Up	20min	"Function ""ppo"" has 17 parameters, which is greater than the 13 authorized."	2020-01-30T13:09:39-0300	CODE_SMELL	false	"brain-overload / "	Spinning_Up:spinup/algos/pytorch/ppo/ppo.py		MAIN	{startLine=88.0, endLine=91.0, startOffset=8.0, endOffset=58.0}	20min	AYNC2peWop39vzmIog3f	44cb5a9199ef1ed0075cfc0d2fd7fe68	OPEN
CRITICAL	2022-09-15T17:32:29-0300		88.0	jachiam@berkeley.edu	python:S3776	Spinning_Up	23min	Refactor this function to reduce its Cognitive Complexity from 33 to the 15 allowed.	2020-01-30T13:09:39-0300	CODE_SMELL	false	"brain-overload / "	Spinning_Up:spinup/algos/pytorch/ppo/ppo.py	"{locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=265.0, endLine=265.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=269.0, endLine=269.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=279.0, endLine=279.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=298.0, endLine=298.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=299.0, endLine=299.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=314.0, endLine=314.0, startOffset=25.0, endOffset=27.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=317.0, endLine=317.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=317.0, endLine=317.0, startOffset=24.0, endOffset=26.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=318.0, endLine=318.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=318.0, endLine=318.0, startOffset=31.0, endOffset=34.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=321.0, endLine=321.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=321.0, endLine=321.0, startOffset=27.0, endOffset=29.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=323.0, endLine=323.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=326.0, endLine=326.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=333.0, endLine=333.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/ppo/ppo.py, textRange={startLine=333.0, endLine=333.0, startOffset=36.0, endOffset=38.0}, msg=+1}]} / "	MAIN	{startLine=88.0, endLine=88.0, startOffset=4.0, endOffset=7.0}	23min	AYNC2peWop39vzmIog3g	44cb5a9199ef1ed0075cfc0d2fd7fe68	OPEN
MAJOR	2022-09-15T17:32:29-0300		45.0	jachiam@berkeley.edu	python:S107	Spinning_Up	20min	"Function ""sac"" has 19 parameters, which is greater than the 13 authorized."	2020-01-30T13:09:39-0300	CODE_SMELL	false	"brain-overload / "	Spinning_Up:spinup/algos/pytorch/sac/sac.py		MAIN	{startLine=45.0, endLine=49.0, startOffset=8.0, endOffset=41.0}	20min	AYNC2pehop39vzmIog3k	8301272dd7a9e249aa23777c645f37e4	OPEN
CRITICAL	2022-09-15T17:32:29-0300		45.0	jachiam@berkeley.edu	python:S3776	Spinning_Up	24min	Refactor this function to reduce its Cognitive Complexity from 34 to the 15 allowed.	2020-01-30T13:09:39-0300	CODE_SMELL	false	"brain-overload / "	Spinning_Up:spinup/algos/pytorch/sac/sac.py	"{locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=165.0, endLine=165.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=242.0, endLine=242.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=252.0, endLine=252.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=260.0, endLine=260.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=271.0, endLine=271.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=273.0, endLine=273.0, startOffset=12.0, endOffset=17.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=273.0, endLine=273.0, startOffset=24.0, endOffset=26.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=286.0, endLine=286.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=291.0, endLine=291.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=293.0, endLine=293.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=304.0, endLine=304.0, startOffset=18.0, endOffset=20.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=314.0, endLine=314.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=314.0, endLine=314.0, startOffset=13.0, endOffset=15.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=319.0, endLine=319.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=319.0, endLine=319.0, startOffset=29.0, endOffset=32.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=320.0, endLine=320.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=325.0, endLine=325.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=329.0, endLine=329.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/sac/sac.py, textRange={startLine=329.0, endLine=329.0, startOffset=40.0, endOffset=42.0}, msg=+1}]} / "	MAIN	{startLine=45.0, endLine=45.0, startOffset=4.0, endOffset=7.0}	24min	AYNC2pehop39vzmIog3l	8301272dd7a9e249aa23777c645f37e4	OPEN
MINOR	2022-09-15T17:32:29-0300		271.0	jachiam@berkeley.edu	python:S1481	Spinning_Up	5min	"Remove the unused local variable ""j""."	2020-01-30T13:09:39-0300	CODE_SMELL	false	"unused / "	Spinning_Up:spinup/algos/pytorch/sac/sac.py		MAIN	{startLine=271.0, endLine=271.0, startOffset=12.0, endOffset=13.0}	5min	AYNC2pehop39vzmIog3m	7512b66d663f32eae77144e23a216b69	OPEN
MAJOR	2022-09-15T17:32:29-0300		45.0	jachiam@berkeley.edu	python:S107	Spinning_Up	20min	"Function ""td3"" has 23 parameters, which is greater than the 13 authorized."	2020-01-30T13:09:39-0300	CODE_SMELL	false	"brain-overload / "	Spinning_Up:spinup/algos/pytorch/td3/td3.py		MAIN	{startLine=45.0, endLine=50.0, startOffset=8.0, endOffset=41.0}	20min	AYNC2pecop39vzmIog3h	49bfc11939a618a98aafd30eea352333	OPEN
CRITICAL	2022-09-15T17:32:29-0300		45.0	jachiam@berkeley.edu	python:S3776	Spinning_Up	29min	Refactor this function to reduce its Cognitive Complexity from 39 to the 15 allowed.	2020-01-30T13:09:39-0300	CODE_SMELL	false	"brain-overload / "	Spinning_Up:spinup/algos/pytorch/td3/td3.py	"{locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=167.0, endLine=167.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=238.0, endLine=238.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=242.0, endLine=242.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=252.0, endLine=252.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=260.0, endLine=260.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=272.0, endLine=272.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=274.0, endLine=274.0, startOffset=12.0, endOffset=17.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=274.0, endLine=274.0, startOffset=24.0, endOffset=26.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=287.0, endLine=287.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=292.0, endLine=292.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=294.0, endLine=294.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=305.0, endLine=305.0, startOffset=18.0, endOffset=20.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=315.0, endLine=315.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=315.0, endLine=315.0, startOffset=13.0, endOffset=15.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=320.0, endLine=320.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=320.0, endLine=320.0, startOffset=29.0, endOffset=32.0}, msg=+1}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=321.0, endLine=321.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=326.0, endLine=326.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=330.0, endLine=330.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Spinning_Up:spinup/algos/pytorch/td3/td3.py, textRange={startLine=330.0, endLine=330.0, startOffset=40.0, endOffset=42.0}, msg=+1}]} / "	MAIN	{startLine=45.0, endLine=45.0, startOffset=4.0, endOffset=7.0}	29min	AYNC2pecop39vzmIog3i	49bfc11939a618a98aafd30eea352333	OPEN
