severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T13:53:48-0300		66.0	rajiv.abraham@thescore.com	python:S125	Thampi	5min	Remove this commented out code.	2018-10-25T17:16:04-0300	CODE_SMELL	false	"unused / "	Thampi:docs/source/conf.py		MAIN	{startLine=66.0, endLine=66.0, startOffset=0.0, endOffset=24.0}	5min	AYNCEliQop39vzmIhS5o	e36ecadf7e16121ef24723be07296810	OPEN
CRITICAL	2022-09-15T13:53:48-0300		146.0	rajiv.abraham@thescore.com	python:S1192	Thampi	6min	Define a constant instead of duplicating this literal 'thampi Documentation' 3 times.	2018-10-25T17:16:04-0300	CODE_SMELL	false	"design / "	Thampi:docs/source/conf.py	"{locations=[{component=Thampi:docs/source/conf.py, textRange={startLine=156.0, endLine=156.0, startOffset=27.0, endOffset=49.0}, msg=Duplication}]} / {locations=[{component=Thampi:docs/source/conf.py, textRange={startLine=167.0, endLine=167.0, startOffset=27.0, endOffset=49.0}, msg=Duplication}]} / "	MAIN	{startLine=146.0, endLine=146.0, startOffset=31.0, endOffset=53.0}	6min	AYNCEliQop39vzmIhS5n	4f20ca43a976895b7236189c37052fc6	OPEN
MAJOR	2022-09-15T13:53:48-0300		28.0	rajiv.abraham@thescore.com	python:S125	Thampi	5min	Remove this commented out code.	2018-10-12T12:11:47-0300	CODE_SMELL	false	"unused / "	Thampi:tests/test_api.py		MAIN	{startLine=28.0, endLine=28.0, startOffset=8.0, endOffset=49.0}	5min	AYNCEljJop39vzmIhS6F	d4292c977e92347d09bdab1640d30308	OPEN
MAJOR	2022-09-15T13:53:48-0300		111.0	rajiv.abraham@thescore.com	python:S125	Thampi	5min	Remove this commented out code.	2018-10-11T20:22:54-0300	CODE_SMELL	false	"unused / "	Thampi:thampi/core/api.py		MAIN	{startLine=111.0, endLine=111.0, startOffset=0.0, endOffset=30.0}	5min	AYNCElinop39vzmIhS5q	be8565043083b9bb56843d7717289625	OPEN
MAJOR	2022-09-15T13:53:48-0300		218.0	rajiv.abraham@thescore.com	python:S107	Thampi	20min	"Function ""serve"" has 14 parameters, which is greater than the 13 authorized."	2018-08-30T16:40:18-0300	CODE_SMELL	false	"brain-overload / "	Thampi:thampi/core/api.py		MAIN	{startLine=218.0, endLine=231.0, startOffset=10.0, endOffset=60.0}	20min	AYNCElinop39vzmIhS5s	2ef669e39e07bebaadf09c2e92c1682e	OPEN
CRITICAL	2022-09-15T13:53:48-0300		48.0	rajiv.abraham@thescore.com	python:S1192	Thampi	10min	"Define a constant instead of duplicating this literal ""Oh no! An "" 5 times."	2018-08-23T18:45:58-0300	CODE_SMELL	false	"design / "	Thampi:thampi/cli/commands.py	"{locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=89.0, endLine=89.0, startOffset=19.0, endOffset=31.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=250.0, endLine=250.0, startOffset=19.0, endOffset=31.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=276.0, endLine=276.0, startOffset=19.0, endOffset=31.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=299.0, endLine=299.0, startOffset=19.0, endOffset=31.0}, msg=Duplication}]} / "	MAIN	{startLine=48.0, endLine=48.0, startOffset=19.0, endOffset=31.0}	10min	AYNCEli7op39vzmIhS56	3dadaae5fab741a59c890ad726f29bb9	OPEN
CRITICAL	2022-09-15T13:53:48-0300		48.0	rajiv.abraham@thescore.com	python:S1192	Thampi	10min	"Define a constant instead of duplicating this literal ""error occurred"" 5 times."	2018-08-23T18:45:58-0300	CODE_SMELL	false	"design / "	Thampi:thampi/cli/commands.py	"{locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=89.0, endLine=89.0, startOffset=46.0, endOffset=62.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=250.0, endLine=250.0, startOffset=46.0, endOffset=62.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=276.0, endLine=276.0, startOffset=46.0, endOffset=62.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=299.0, endLine=299.0, startOffset=46.0, endOffset=62.0}, msg=Duplication}]} / "	MAIN	{startLine=48.0, endLine=48.0, startOffset=46.0, endOffset=62.0}	10min	AYNCEli7op39vzmIhS57	3dadaae5fab741a59c890ad726f29bb9	OPEN
CRITICAL	2022-09-15T13:53:48-0300		49.0	rajiv.abraham@thescore.com	python:S1192	Thampi	20min	"Define a constant instead of duplicating this literal ""\n==============\n"" 10 times."	2018-08-23T18:45:58-0300	CODE_SMELL	false	"design / "	Thampi:thampi/cli/commands.py	"{locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=52.0, endLine=52.0, startOffset=19.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=90.0, endLine=90.0, startOffset=19.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=93.0, endLine=93.0, startOffset=19.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=251.0, endLine=251.0, startOffset=19.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=254.0, endLine=254.0, startOffset=19.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=277.0, endLine=277.0, startOffset=19.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=280.0, endLine=280.0, startOffset=19.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=300.0, endLine=300.0, startOffset=19.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Thampi:thampi/cli/commands.py, textRange={startLine=303.0, endLine=303.0, startOffset=19.0, endOffset=39.0}, msg=Duplication}]} / "	MAIN	{startLine=49.0, endLine=49.0, startOffset=19.0, endOffset=39.0}	20min	AYNCEli7op39vzmIhS58	58d541041ad295ab97d3e938dee212ed	OPEN
INFO	2022-09-15T13:53:48-0300		452.0	rajiv.abraham@thescore.com	python:S1135	Thampi	0min	"Complete the task associated to this ""TODO"" comment."	2018-08-23T18:45:58-0300	CODE_SMELL	false	"cwe / "	Thampi:thampi/core/api.py		MAIN	{startLine=452.0, endLine=452.0, startOffset=33.0, endOffset=113.0}	0min	AYNCElinop39vzmIhS5x	9cd1958c6209a4045524b4a8c2eefe07	OPEN
MINOR	2022-09-15T13:53:48-0300		59.0	rajiv.abraham@thescore.com	python:S1481	Thampi	5min	"Remove the unused local variable ""i""."	2018-08-23T18:45:58-0300	CODE_SMELL	false	"unused / "	Thampi:thampi/lib/util.py		MAIN	{startLine=59.0, endLine=59.0, startOffset=28.0, endOffset=29.0}	5min	AYNCEli1op39vzmIhS53	fad44869f36206e8bdf4581f8c030622	OPEN
