severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T13:47:01-0300		2107.0	fukuball@gmail.com	python:S125	fuku-ml	5min	Remove this commented out code.	2017-05-06T12:04:31-0300	CODE_SMELL	false	"unused / "	fuku-ml:test_fuku_ml.py		MAIN	{startLine=2107.0, endLine=2161.0, startOffset=4.0, endOffset=7.0}	5min	AYNCDByvop39vzmIhDtC	757b3fc0f965530c5ba9f67d25eb64a8	OPEN
BLOCKER	2022-09-15T13:47:01-0300		47.0	fukuball@gmail.com	python:S5807	fuku-ml	1min	"Change or remove this string; ""AdaBoostStump.BinaryClassifier"" is not defined."	2017-05-01T07:28:53-0300	BUG	false		fuku-ml:FukuML/__init__.py		MAIN	{startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=36.0}	1min	AYNCDBxiop39vzmIhDpl	d3db8d98bf08d35222548df79b03f222	OPEN
BLOCKER	2022-09-15T13:47:01-0300		49.0	fukuball@gmail.com	python:S5807	fuku-ml	1min	"Change or remove this string; ""AdaBoostDecisionTree.Classifier"" is not defined."	2017-05-01T07:28:53-0300	BUG	false		fuku-ml:FukuML/__init__.py		MAIN	{startLine=49.0, endLine=49.0, startOffset=4.0, endOffset=37.0}	1min	AYNCDBxiop39vzmIhDpm	e8fe736f9788f8a5cfbd8e9e2fafa5a8	OPEN
BLOCKER	2022-09-15T13:47:01-0300		51.0	fukuball@gmail.com	python:S5807	fuku-ml	1min	"Change or remove this string; ""GradientBoostDecisionTree.Regression"" is not defined."	2017-05-01T07:28:53-0300	BUG	false		fuku-ml:FukuML/__init__.py		MAIN	{startLine=51.0, endLine=51.0, startOffset=4.0, endOffset=42.0}	1min	AYNCDBxiop39vzmIhDpn	9d92dacb86232c0c37d0b8a672d62932	OPEN
CRITICAL	2022-09-15T13:47:01-0300		70.0	fukuball@gmail.com	python:S2638	fuku-ml	15min	Remove parameter run_t or provide default value.	2017-04-30T14:27:35-0300	CODE_SMELL	false	"suspicious / "	fuku-ml:FukuML/GradientBoostDecisionTree.py	"{locations=[{component=fuku-ml:FukuML/GradientBoostDecisionTree.py, textRange={startLine=70.0, endLine=70.0, startOffset=24.0, endOffset=29.0}, msg=Remove parameter run_t or provide default value.}, {component=fuku-ml:FukuML/MLBase.py, textRange={startLine=57.0, endLine=57.0, startOffset=8.0, endOffset=17.0}, msg=Overridden method's definition}]} / "	MAIN	{startLine=70.0, endLine=70.0, startOffset=24.0, endOffset=29.0}	15min	AYNCDBxVop39vzmIhDoY	ad4a9d6fa7d26ea0378b4460ab3884be	OPEN
MINOR	2022-09-15T13:47:01-0300		92.0	fukuball@gmail.com	python:S117	fuku-ml	2min	"Rename this parameter ""W"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-04-30T14:27:35-0300	CODE_SMELL	false	"convention / "	fuku-ml:FukuML/GradientBoostDecisionTree.py		MAIN	{startLine=92.0, endLine=92.0, startOffset=32.0, endOffset=33.0}	2min	AYNCDBxVop39vzmIhDoZ	e794fe66648083e026d35e456a96c420	OPEN
MINOR	2022-09-15T13:47:01-0300		110.0	fukuball@gmail.com	python:S117	fuku-ml	2min	"Rename this parameter ""W"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-04-30T14:27:35-0300	CODE_SMELL	false	"convention / "	fuku-ml:FukuML/GradientBoostDecisionTree.py		MAIN	{startLine=110.0, endLine=110.0, startOffset=40.0, endOffset=41.0}	2min	AYNCDBxVop39vzmIhDoa	f176d5462dea69f9c1e3a523fe520b84	OPEN
MINOR	2022-09-15T13:47:01-0300		110.0	fukuball@gmail.com	python:S117	fuku-ml	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-04-30T14:27:35-0300	CODE_SMELL	false	"convention / "	fuku-ml:FukuML/GradientBoostDecisionTree.py		MAIN	{startLine=110.0, endLine=110.0, startOffset=34.0, endOffset=35.0}	2min	AYNCDBxVop39vzmIhDob	f176d5462dea69f9c1e3a523fe520b84	OPEN
MINOR	2022-09-15T13:47:01-0300		110.0	fukuball@gmail.com	python:S117	fuku-ml	2min	"Rename this parameter ""Y"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-04-30T14:27:35-0300	CODE_SMELL	false	"convention / "	fuku-ml:FukuML/GradientBoostDecisionTree.py		MAIN	{startLine=110.0, endLine=110.0, startOffset=37.0, endOffset=38.0}	2min	AYNCDBxVop39vzmIhDoc	f176d5462dea69f9c1e3a523fe520b84	OPEN
MAJOR	2022-09-15T13:47:01-0300		121.0	fukuball@gmail.com	python:S1854	fuku-ml	15min	Remove this assignment to local variable 'new_s'; the value is never used.	2017-04-30T14:27:35-0300	CODE_SMELL	false	"cwe / unused / "	fuku-ml:FukuML/GradientBoostDecisionTree.py		MAIN	{startLine=121.0, endLine=121.0, startOffset=8.0, endOffset=17.0}	15min	AYNCDBxVop39vzmIhDod	cf53dd9515192110845cab45ef88e1d6	OPEN
