severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T15:34:26-0300		81.0	stonebig34@gmail.com	python:S5754	ggplot	5min	Specify an exception class to catch or reraise the exception	2016-11-19T14:39:07-0300	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	ggplot:ggplot/stats/stat_smooth.py		MAIN	{startLine=81.0, endLine=81.0, startOffset=8.0, endOffset=14.0}	5min	AYNCbtu2op39vzmImhz3	bcc6a3de711cc9831418b7243e298589	OPEN
CRITICAL	2022-09-15T15:34:26-0300		211.0	lamp.greg@gmail.com	python:S3776	ggplot	45min	Refactor this function to reduce its Cognitive Complexity from 55 to the 15 allowed.	2016-09-29T12:53:54-0300	CODE_SMELL	false	"brain-overload / "	ggplot:ggplot/ggplot.py	"{locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=212.0, endLine=212.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=214.0, endLine=214.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=215.0, endLine=215.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=217.0, endLine=217.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=220.0, endLine=220.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=221.0, endLine=221.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=223.0, endLine=223.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=224.0, endLine=224.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=225.0, endLine=225.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=227.0, endLine=227.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=228.0, endLine=228.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=230.0, endLine=230.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=233.0, endLine=233.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=234.0, endLine=234.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=236.0, endLine=236.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=237.0, endLine=237.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=238.0, endLine=238.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=240.0, endLine=240.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=241.0, endLine=241.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=245.0, endLine=245.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=246.0, endLine=246.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=253.0, endLine=253.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=254.0, endLine=254.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=257.0, endLine=257.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=258.0, endLine=258.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=262.0, endLine=262.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=263.0, endLine=263.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=270.0, endLine=270.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=273.0, endLine=273.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=274.0, endLine=274.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=276.0, endLine=276.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=279.0, endLine=279.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=282.0, endLine=282.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / "	MAIN	{startLine=211.0, endLine=211.0, startOffset=8.0, endOffset=25.0}	45min	AYNCbtwLop39vzmImh0p	5ed1315500235fc71747ab61d4318295	OPEN
MAJOR	2022-09-15T15:34:26-0300		215.0	lamp.greg@gmail.com	python:S1066	ggplot	5min	Merge this if statement with the enclosing one.	2016-09-29T12:53:54-0300	CODE_SMELL	false	"clumsy / "	ggplot:ggplot/ggplot.py	"{locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=214.0, endLine=214.0, startOffset=12.0, endOffset=14.0}, msg=enclosing}]} / "	MAIN	{startLine=215.0, endLine=215.0, startOffset=16.0, endOffset=18.0}	5min	AYNCbtwLop39vzmImh0g	1657ada99651be01ab05503505e2d137	OPEN
MAJOR	2022-09-15T15:34:26-0300		274.0	lamp.greg@gmail.com	python:S1066	ggplot	5min	Merge this if statement with the enclosing one.	2016-09-29T12:53:54-0300	CODE_SMELL	false	"clumsy / "	ggplot:ggplot/ggplot.py	"{locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=273.0, endLine=273.0, startOffset=12.0, endOffset=14.0}, msg=enclosing}]} / "	MAIN	{startLine=274.0, endLine=274.0, startOffset=16.0, endOffset=18.0}	5min	AYNCbtwLop39vzmImh0j	4febf9dbe66a3dbabbf342353fadd805	OPEN
CRITICAL	2022-09-15T15:34:26-0300		132.0	lamp.greg@gmail.com	python:S5754	ggplot	5min	Specify an exception class to catch or reraise the exception	2016-09-27T19:05:12-0300	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	ggplot:ggplot/themes/theme.py		MAIN	{startLine=132.0, endLine=132.0, startOffset=16.0, endOffset=22.0}	5min	AYNCbtvJop39vzmImh0D	3e264f5fbab10735799511f21ca70842	OPEN
MAJOR	2022-09-15T15:34:26-0300		3.0	lamp.greg@gmail.com	python:S125	ggplot	5min	Remove this commented out code.	2016-09-27T19:05:12-0300	CODE_SMELL	false	"unused / "	ggplot:tests/test_element_text.py		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=21.0}	5min	AYNCbttcop39vzmImhzX	ccaee69b18f692b7b2d6585eb636d1a8	OPEN
MAJOR	2022-09-15T15:34:26-0300		26.0	lamp.greg@gmail.com	python:PrintStatementUsage	ggplot	5min	Replace print statement by built-in function.	2016-09-27T19:05:12-0300	CODE_SMELL	false	"obsolete / python3 / "	ggplot:tests/test_element_text.py		MAIN	{startLine=26.0, endLine=26.0, startOffset=0.0, endOffset=5.0}	5min	AYNCbttcop39vzmImhzW	87866a667e9b3c90b0a5c5e39f797ea8	OPEN
MAJOR	2022-09-15T15:34:26-0300		27.0	lamp.greg@gmail.com	python:PrintStatementUsage	ggplot	5min	Replace print statement by built-in function.	2016-09-27T19:05:12-0300	CODE_SMELL	false	"obsolete / python3 / "	ggplot:tests/test_element_text.py		MAIN	{startLine=27.0, endLine=27.0, startOffset=0.0, endOffset=5.0}	5min	AYNCbttcop39vzmImhzZ	311b0889f5f265a680639c61b874d066	OPEN
CRITICAL	2022-09-15T15:34:26-0300		137.0	philip.hazelden@nbcuni.com	python:S3776	ggplot	12min	Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.	2016-08-17T07:05:50-0300	CODE_SMELL	false	"brain-overload / "	ggplot:ggplot/ggplot.py	"{locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=140.0, endLine=140.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=141.0, endLine=141.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=146.0, endLine=146.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=148.0, endLine=148.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=150.0, endLine=150.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=151.0, endLine=151.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=152.0, endLine=152.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=154.0, endLine=154.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=160.0, endLine=160.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=161.0, endLine=161.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=162.0, endLine=162.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ggplot:ggplot/ggplot.py, textRange={startLine=165.0, endLine=165.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / "	MAIN	{startLine=137.0, endLine=137.0, startOffset=8.0, endOffset=18.0}	12min	AYNCbtwLop39vzmImh0m	c32a77a90d5e894e5563dcf2859dfd53	OPEN
MAJOR	2022-09-15T15:34:26-0300		18.0	philip.hazelden@nbcuni.com	python:PrintStatementUsage	ggplot	5min	Replace print statement by built-in function.	2016-08-17T07:05:50-0300	CODE_SMELL	false	"obsolete / python3 / "	ggplot:tests/test_facets.py		MAIN	{startLine=18.0, endLine=18.0, startOffset=0.0, endOffset=5.0}	5min	AYNCbtr9op39vzmImhxn	f3d04afa5f11f76c8158d22eac36fef2	OPEN
