severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T16:33:42-0300		16.0	fabian@fseoane.net	python:S3776	group-lasso	9min	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.	2012-10-22T16:43:17-0300	CODE_SMELL	false	"brain-overload / "	group-lasso:group_lasso.py	"{locations=[{component=group-lasso:group_lasso.py, textRange={startLine=59.0, endLine=59.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=group-lasso:group_lasso.py, textRange={startLine=72.0, endLine=72.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=group-lasso:group_lasso.py, textRange={startLine=76.0, endLine=76.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=group-lasso:group_lasso.py, textRange={startLine=84.0, endLine=84.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=group-lasso:group_lasso.py, textRange={startLine=86.0, endLine=86.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=group-lasso:group_lasso.py, textRange={startLine=88.0, endLine=88.0, startOffset=16.0, endOffset=19.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=group-lasso:group_lasso.py, textRange={startLine=94.0, endLine=94.0, startOffset=20.0, endOffset=22.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=group-lasso:group_lasso.py, textRange={startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=22.0}	9min	AYNCpJ-7op39vzmIn2Wk	bd88eb329012cd9ea1b448632eb59bcf	OPEN
MAJOR	2022-09-15T16:33:42-0300		78.0	fabian@fseoane.net	python:S125	group-lasso	5min	Remove this commented out code.	2012-10-22T16:43:17-0300	CODE_SMELL	false	"unused / "	group-lasso:group_lasso.py		MAIN	{startLine=78.0, endLine=78.0, startOffset=12.0, endOffset=42.0}	5min	AYNCpJ-7op39vzmIn2Wl	f7556a2af398058b2813f3ea4ae4132d	OPEN
MINOR	2022-09-15T16:33:42-0300		81.0	fabian@fseoane.net	python:S117	group-lasso	2min	"Rename this local variable ""X_r_k"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2012-10-22T16:43:17-0300	CODE_SMELL	false	"convention / "	group-lasso:group_lasso.py		MAIN	{startLine=81.0, endLine=81.0, startOffset=12.0, endOffset=17.0}	2min	AYNCpJ-7op39vzmIn2Wg	70a5a811411ea64408c4fbd42d0e977c	OPEN
MAJOR	2022-09-15T16:33:42-0300		101.0	fabian@fseoane.net	python:S125	group-lasso	5min	Remove this commented out code.	2012-10-22T16:43:17-0300	CODE_SMELL	false	"unused / "	group-lasso:group_lasso.py		MAIN	{startLine=101.0, endLine=101.0, startOffset=12.0, endOffset=42.0}	5min	AYNCpJ-7op39vzmIn2Wm	f7556a2af398058b2813f3ea4ae4132d	OPEN
MINOR	2022-09-15T16:33:42-0300		121.0	fabian@fseoane.net	python:S1940	group-lasso	2min	"Use the opposite operator ("">="") instead."	2012-10-22T16:43:17-0300	CODE_SMELL	false	"pitfall / "	group-lasso:group_lasso.py		MAIN	{startLine=121.0, endLine=121.0, startOffset=15.0, endOffset=59.0}	2min	AYNCpJ-7op39vzmIn2Wo	804a467a49c13929ee80ff293d34710c	OPEN
MINOR	2022-09-15T16:33:42-0300		75.0	fabian@fseoane.net	python:S117	group-lasso	2min	"Rename this local variable ""X_residual"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2012-10-22T15:25:06-0300	CODE_SMELL	false	"convention / "	group-lasso:group_lasso.py		MAIN	{startLine=75.0, endLine=75.0, startOffset=8.0, endOffset=18.0}	2min	AYNCpJ-7op39vzmIn2Wh	f09e5115558ff923c9aaca5850283338	OPEN
MINOR	2022-09-15T16:33:42-0300		80.0	fabian@fseoane.net	python:S117	group-lasso	2min	"Rename this local variable ""Kgg"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2012-10-22T15:25:06-0300	CODE_SMELL	false	"convention / "	group-lasso:group_lasso.py		MAIN	{startLine=80.0, endLine=80.0, startOffset=12.0, endOffset=15.0}	2min	AYNCpJ-7op39vzmIn2We	b14b969d161cfec58295a5f945e092df	OPEN
MINOR	2022-09-15T16:33:42-0300		107.0	fabian@fseoane.net	python:S117	group-lasso	2min	"Rename this parameter ""A"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2012-10-22T15:25:06-0300	CODE_SMELL	false	"convention / "	group-lasso:group_lasso.py		MAIN	{startLine=107.0, endLine=107.0, startOffset=26.0, endOffset=27.0}	2min	AYNCpJ-7op39vzmIn2Wn	a810eeaaca02d85caf16b9b7e4a77af7	OPEN
MINOR	2022-09-15T16:33:42-0300		16.0	fabian@fseoane.net	python:S117	group-lasso	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2012-10-02T07:55:48-0300	CODE_SMELL	false	"convention / "	group-lasso:group_lasso.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=23.0, endOffset=24.0}	2min	AYNCpJ-7op39vzmIn2Wf	bd88eb329012cd9ea1b448632eb59bcf	OPEN
MAJOR	2022-09-15T16:33:42-0300		17.0	fabian@fseoane.net	python:S1172	group-lasso	5min	"Remove the unused function parameter ""verbose""."	2012-10-02T06:07:07-0300	CODE_SMELL	false	"unused / "	group-lasso:group_lasso.py		MAIN	{startLine=17.0, endLine=17.0, startOffset=16.0, endOffset=29.0}	5min	AYNCpJ-7op39vzmIn2Wd	f3be2548274ba734773031fa4a98b5ac	OPEN
