severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-06-20T08:10:24-0300		288.0	zhining.liu@outlook.com	python:S3776	imbalanced-ensemble	12min	Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.	2021-11-25T09:42:38-0300	CODE_SMELL	false	"brain-overload / "	imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py	"{locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=295.0, endLine=295.0, startOffset=38.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=360.0, endLine=360.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=372.0, endLine=372.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=374.0, endLine=374.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=377.0, endLine=377.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=384.0, endLine=384.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=386.0, endLine=386.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=388.0, endLine=388.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=391.0, endLine=391.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=400.0, endLine=400.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=400.0, endLine=400.0, startOffset=30.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=404.0, endLine=404.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=404.0, endLine=404.0, startOffset=27.0, endOffset=30.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=408.0, endLine=408.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=408.0, endLine=408.0, startOffset=39.0, endOffset=42.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=411.0, endLine=411.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=411.0, endLine=411.0, startOffset=31.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=419.0, endLine=419.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=424.0, endLine=424.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=436.0, endLine=436.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=436.0, endLine=436.0, startOffset=27.0, endOffset=30.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=463.0, endLine=463.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / "	MAIN	{startLine=288.0, endLine=288.0, startOffset=8.0, endOffset=12.0}	12min	AYGAzs43-os8lNRVTFB0	298cf30ae199e196c1c7f2bfcb849c46	OPEN
CRITICAL	2022-06-20T08:10:24-0300		234.0	zhining.liu@outlook.com	python:S3776	imbalanced-ensemble	12min	Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.	2021-11-25T09:42:38-0300	CODE_SMELL	false	"brain-overload / "	imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py	"{locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=240.0, endLine=240.0, startOffset=38.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=296.0, endLine=296.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=308.0, endLine=308.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=310.0, endLine=310.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=313.0, endLine=313.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=320.0, endLine=320.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=322.0, endLine=322.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=324.0, endLine=324.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=327.0, endLine=327.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=336.0, endLine=336.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=336.0, endLine=336.0, startOffset=30.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=340.0, endLine=340.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=340.0, endLine=340.0, startOffset=27.0, endOffset=30.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=344.0, endLine=344.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=344.0, endLine=344.0, startOffset=39.0, endOffset=42.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=347.0, endLine=347.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=347.0, endLine=347.0, startOffset=31.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=355.0, endLine=355.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=360.0, endLine=360.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=372.0, endLine=372.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=372.0, endLine=372.0, startOffset=27.0, endOffset=30.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/bagging_compatible.py, textRange={startLine=399.0, endLine=399.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / "	MAIN	{startLine=234.0, endLine=234.0, startOffset=8.0, endOffset=11.0}	12min	AYGAzs4O-os8lNRVTFAS	09a9569dfe3782719ef100a53625aa88	OPEN
CRITICAL	2022-06-20T08:10:24-0300		306.0	zhining.liu@outlook.com	python:S3776	imbalanced-ensemble	13min	Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.	2021-11-25T09:40:53-0300	CODE_SMELL	false	"brain-overload / "	imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py	"{locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=311.0, endLine=311.0, startOffset=33.0, endOffset=35.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=312.0, endLine=312.0, startOffset=35.0, endOffset=37.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=316.0, endLine=316.0, startOffset=38.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=329.0, endLine=329.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=333.0, endLine=333.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=336.0, endLine=336.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=336.0, endLine=336.0, startOffset=40.0, endOffset=42.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=342.0, endLine=342.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=379.0, endLine=379.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=405.0, endLine=405.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=425.0, endLine=425.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=443.0, endLine=443.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=443.0, endLine=443.0, startOffset=37.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=450.0, endLine=450.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=450.0, endLine=450.0, startOffset=36.0, endOffset=39.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=459.0, endLine=459.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=459.0, endLine=459.0, startOffset=38.0, endOffset=41.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=465.0, endLine=465.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=306.0, endLine=306.0, startOffset=8.0, endOffset=12.0}	13min	AYGAzs4k-os8lNRVTFBC	298cf30ae199e196c1c7f2bfcb849c46	OPEN
CRITICAL	2022-06-20T08:10:24-0300		786.0	zhining.liu@outlook.com	python:S3776	imbalanced-ensemble	11min	Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.	2021-11-25T09:40:53-0300	CODE_SMELL	false	"brain-overload / "	imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py	"{locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=792.0, endLine=792.0, startOffset=38.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=799.0, endLine=799.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=803.0, endLine=803.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=806.0, endLine=806.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=806.0, endLine=806.0, startOffset=40.0, endOffset=42.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=812.0, endLine=812.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=848.0, endLine=848.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=856.0, endLine=856.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=858.0, endLine=858.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=878.0, endLine=878.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=894.0, endLine=894.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=894.0, endLine=894.0, startOffset=37.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=901.0, endLine=901.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=901.0, endLine=901.0, startOffset=36.0, endOffset=39.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=910.0, endLine=910.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=910.0, endLine=910.0, startOffset=38.0, endOffset=41.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py, textRange={startLine=916.0, endLine=916.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=786.0, endLine=786.0, startOffset=8.0, endOffset=12.0}	11min	AYGAzs4k-os8lNRVTFBP	298cf30ae199e196c1c7f2bfcb849c46	OPEN
CRITICAL	2022-06-20T08:10:24-0300		176.0	zhining.liu@outlook.com	python:S3776	imbalanced-ensemble	9min	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.	2021-11-25T09:40:53-0300	CODE_SMELL	false	"brain-overload / "	imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py	"{locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=181.0, endLine=181.0, startOffset=39.0, endOffset=41.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=213.0, endLine=213.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=217.0, endLine=217.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=220.0, endLine=220.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=220.0, endLine=220.0, startOffset=40.0, endOffset=42.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=226.0, endLine=226.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=255.0, endLine=255.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=277.0, endLine=277.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=293.0, endLine=293.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=293.0, endLine=293.0, startOffset=37.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=300.0, endLine=300.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=300.0, endLine=300.0, startOffset=36.0, endOffset=39.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=309.0, endLine=309.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=309.0, endLine=309.0, startOffset=38.0, endOffset=41.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/compatible/adaboost_compatible.py, textRange={startLine=315.0, endLine=315.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=176.0, endLine=176.0, startOffset=8.0, endOffset=11.0}	9min	AYGAzs4R-os8lNRVTFAZ	09a9569dfe3782719ef100a53625aa88	OPEN
CRITICAL	2022-06-20T08:10:24-0300		89.0	zhining.liu@outlook.com	python:S3776	imbalanced-ensemble	6min	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.	2021-10-22T09:22:29-0300	CODE_SMELL	false	"brain-overload / "	imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py	"{locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=101.0, endLine=101.0, startOffset=4.0, endOffset=9.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=104.0, endLine=104.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=104.0, endLine=104.0, startOffset=33.0, endOffset=36.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=112.0, endLine=112.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=113.0, endLine=113.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=129.0, endLine=129.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=130.0, endLine=130.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=132.0, endLine=132.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=138.0, endLine=138.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=141.0, endLine=141.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/ensemble/_bagging.py, textRange={startLine=143.0, endLine=143.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / "	MAIN	{startLine=89.0, endLine=89.0, startOffset=4.0, endOffset=30.0}	6min	AYGAzs43-os8lNRVTFBv	16fecaf5e9ef063ef5930e33bbd32108	OPEN
MAJOR	2022-06-20T08:10:24-0300		720.0	zhining.liu@outlook.com	python:S125	imbalanced-ensemble	5min	Remove this commented out code.	2021-08-27T11:23:01-0300	CODE_SMELL	false	"unused / "	imbalanced-ensemble:imbalanced_ensemble/ensemble/_boost.py		MAIN	{startLine=720.0, endLine=720.0, startOffset=8.0, endOffset=37.0}	5min	AYGAzs4k-os8lNRVTFBL	32a8af1a097df5f29fe3be7c7a0cb4de	OPEN
MINOR	2022-06-20T08:10:24-0300		135.0	zhining.liu@outlook.com	python:S117	imbalanced-ensemble	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2021-08-17T03:42:06-0300	CODE_SMELL	false	"convention / "	imbalanced-ensemble:imbalanced_ensemble/sampler/base.py		MAIN	{startLine=135.0, endLine=135.0, startOffset=28.0, endOffset=29.0}	2min	AYGAzs3y-os8lNRVTE_b	9cd44dd318e4fd570963cf21c85396b0	OPEN
MINOR	2022-06-20T08:10:24-0300		106.0	zhining.liu@outlook.com	python:S117	imbalanced-ensemble	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2021-08-17T03:42:06-0300	CODE_SMELL	false	"convention / "	imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py		MAIN	{startLine=106.0, endLine=106.0, startOffset=28.0, endOffset=29.0}	2min	AYGAzs3o-os8lNRVTE_I	ea651f80fb5bd6517c5988d8df111625	OPEN
CRITICAL	2022-06-20T08:10:24-0300		106.0	zhining.liu@outlook.com	python:S3776	imbalanced-ensemble	9min	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.	2021-08-17T03:42:06-0300	CODE_SMELL	false	"brain-overload / "	imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py	"{locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=109.0, endLine=109.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=111.0, endLine=111.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=116.0, endLine=116.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=118.0, endLine=118.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=122.0, endLine=122.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=125.0, endLine=125.0, startOffset=16.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=135.0, endLine=135.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=137.0, endLine=137.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=138.0, endLine=138.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=141.0, endLine=141.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=149.0, endLine=149.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=162.0, endLine=162.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=imbalanced-ensemble:imbalanced_ensemble/sampler/under_sampling/_prototype_selection/_random_under_sampler.py, textRange={startLine=166.0, endLine=166.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / "	MAIN	{startLine=106.0, endLine=106.0, startOffset=8.0, endOffset=21.0}	9min	AYGAzs3o-os8lNRVTE_J	ea651f80fb5bd6517c5988d8df111625	OPEN
