severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T17:23:57-0300		9.0	zajac.zygmunt@gmail.com	python:S125	kaggle-advertised-salaries	5min	Remove this commented out code.	2014-06-15T12:48:25-0300	CODE_SMELL	false	"unused / "	kaggle-advertised-salaries:feature_selection/utils.py		MAIN	{startLine=9.0, endLine=9.0, startOffset=1.0, endOffset=34.0}	5min	AYNC0qmpop39vzmIoGi-	b6d5c66d95c049d37c6671ad7e772c0a	OPEN
MAJOR	2022-09-15T17:23:57-0300		19.0	zajac.zygmunt@gmail.com	python:PrintStatementUsage	kaggle-advertised-salaries	5min	Replace print statement by built-in function.	2014-06-15T12:48:25-0300	CODE_SMELL	false	"obsolete / python3 / "	kaggle-advertised-salaries:feature_selection/utils.py		MAIN	{startLine=19.0, endLine=19.0, startOffset=3.0, endOffset=8.0}	5min	AYNC0qmpop39vzmIoGi_	1e2d509a97a6f55531b54282dd4d5756	OPEN
MAJOR	2022-09-15T17:23:57-0300		23.0	zajac.zygmunt@gmail.com	python:PrintStatementUsage	kaggle-advertised-salaries	5min	Replace print statement by built-in function.	2014-06-15T12:48:25-0300	CODE_SMELL	false	"obsolete / python3 / "	kaggle-advertised-salaries:feature_selection/utils.py		MAIN	{startLine=23.0, endLine=23.0, startOffset=1.0, endOffset=6.0}	5min	AYNC0qmpop39vzmIoGjA	f7531e2d0ea27233ce00b5f01c5bf335	OPEN
MAJOR	2022-09-15T17:23:57-0300		25.0	zajac.zygmunt@gmail.com	python:PrintStatementUsage	kaggle-advertised-salaries	5min	Replace print statement by built-in function.	2014-06-15T12:48:25-0300	CODE_SMELL	false	"obsolete / python3 / "	kaggle-advertised-salaries:feature_selection/utils.py		MAIN	{startLine=25.0, endLine=25.0, startOffset=2.0, endOffset=7.0}	5min	AYNC0qmpop39vzmIoGjB	95c620793d0289aa3f9bf3210c799628	OPEN
MAJOR	2022-09-15T17:23:57-0300		60.0	zajac.zygmunt@gmail.com	python:PrintStatementUsage	kaggle-advertised-salaries	5min	Replace print statement by built-in function.	2013-08-15T15:34:52-0300	CODE_SMELL	false	"obsolete / python3 / "	kaggle-advertised-salaries:optional/cols_dimensionality.py		MAIN	{startLine=60.0, endLine=60.0, startOffset=2.0, endOffset=7.0}	5min	AYNC0qmNop39vzmIoGim	2747526702d2255dcb83497bc4c856da	OPEN
MAJOR	2022-09-15T17:23:57-0300		62.0	zajac.zygmunt@gmail.com	python:S125	kaggle-advertised-salaries	5min	Remove this commented out code.	2013-08-15T15:34:52-0300	CODE_SMELL	false	"unused / "	kaggle-advertised-salaries:optional/cols_dimensionality.py		MAIN	{startLine=62.0, endLine=62.0, startOffset=0.0, endOffset=14.0}	5min	AYNC0qmOop39vzmIoGin	1b63fd3c94cd4af1cd8f4664326fc154	OPEN
MAJOR	2022-09-15T17:23:57-0300		66.0	zajac.zygmunt@gmail.com	python:PrintStatementUsage	kaggle-advertised-salaries	5min	Replace print statement by built-in function.	2013-08-15T15:34:52-0300	CODE_SMELL	false	"obsolete / python3 / "	kaggle-advertised-salaries:optional/cols_dimensionality.py		MAIN	{startLine=66.0, endLine=66.0, startOffset=1.0, endOffset=6.0}	5min	AYNC0qmOop39vzmIoGio	eef13be0a005b2f2bd9aeaf942cd9ffd	OPEN
MAJOR	2022-09-15T17:23:57-0300		68.0	zajac.zygmunt@gmail.com	python:S108	kaggle-advertised-salaries	5min	Either remove or fill this block of code.	2013-08-15T15:34:52-0300	CODE_SMELL	false	"suspicious / "	kaggle-advertised-salaries:optional/cols_dimensionality.py		MAIN	{startLine=68.0, endLine=68.0, startOffset=2.0, endOffset=6.0}	5min	AYNC0qmOop39vzmIoGip	1a1dc91c907325c69271ddf0c944bc72	OPEN
MAJOR	2022-09-15T17:23:57-0300		69.0	zajac.zygmunt@gmail.com	python:S125	kaggle-advertised-salaries	5min	Remove this commented out code.	2013-08-15T15:34:52-0300	CODE_SMELL	false	"unused / "	kaggle-advertised-salaries:optional/cols_dimensionality.py		MAIN	{startLine=69.0, endLine=69.0, startOffset=2.0, endOffset=26.0}	5min	AYNC0qmOop39vzmIoGiq	9cda2ddbfee2f5149b62a3ee0faf0033	OPEN
MAJOR	2022-09-15T17:23:57-0300		18.0	zajac.zygmunt@gmail.com	python:PrintStatementUsage	kaggle-advertised-salaries	5min	Replace print statement by built-in function.	2013-04-17T14:39:56-0300	CODE_SMELL	false	"obsolete / python3 / "	kaggle-advertised-salaries:regression_as_classification/2vw_class.py		MAIN	{startLine=18.0, endLine=18.0, startOffset=2.0, endOffset=7.0}	5min	AYNC0qmWop39vzmIoGiw	90193ffc7b2d5889781bfc989f662fcc	OPEN
