severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-06-19T22:50:59-0300		89.0	ocelma@gmail.com	python:S125	python-recsys	5min	Remove this commented out code.	2012-07-02T19:42:55-0300	CODE_SMELL	false	"unused / "	python-recsys:recsys/evaluation/ranking.py		MAIN	{startLine=89.0, endLine=105.0, startOffset=0.0, endOffset=3.0}	5min	AYF-znU8-os8lNRVS99A	d7ef7076734ae84447992034ead7723d	OPEN
MAJOR	2022-06-19T22:50:59-0300		111.0	ocelma@gmail.com	python:S1144	python-recsys	5min	Remove this unused class-private '__compute' method.	2012-05-09T20:04:36-0300	CODE_SMELL	false	"unused / "	python-recsys:recsys/evaluation/ranking.py		MAIN	{startLine=111.0, endLine=111.0, startOffset=8.0, endOffset=17.0}	5min	AYF-znU8-os8lNRVS99B	bd808b03392312233dabc44e1da2852b	OPEN
MINOR	2022-06-19T22:50:59-0300		118.0	ocelma@gmail.com	python:S1481	python-recsys	5min	"Remove the unused local variable ""hit""."	2012-05-09T20:04:36-0300	CODE_SMELL	false	"unused / "	python-recsys:recsys/evaluation/ranking.py		MAIN	{startLine=118.0, endLine=118.0, startOffset=16.0, endOffset=19.0}	5min	AYF-znU8-os8lNRVS99C	3828094dcea45cffbfb70ce847330c3d	OPEN
MINOR	2022-06-19T22:50:59-0300		120.0	ocelma@gmail.com	python:S1481	python-recsys	5min	"Remove the unused local variable ""p""."	2012-05-09T20:04:36-0300	CODE_SMELL	false	"unused / "	python-recsys:recsys/evaluation/ranking.py		MAIN	{startLine=120.0, endLine=120.0, startOffset=16.0, endOffset=17.0}	5min	AYF-znU8-os8lNRVS99D	7fe984ffbf6ef580c2dcd357ab45e670	OPEN
CRITICAL	2022-06-19T22:50:59-0300		122.0	ocelma@gmail.com	python:S5754	python-recsys	5min	Specify an exception class to catch or reraise the exception	2012-05-09T20:04:36-0300	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	python-recsys:recsys/evaluation/ranking.py		MAIN	{startLine=122.0, endLine=122.0, startOffset=12.0, endOffset=18.0}	5min	AYF-znU8-os8lNRVS99E	3e264f5fbab10735799511f21ca70842	OPEN
CRITICAL	2022-06-19T22:50:59-0300		96.0	ocelma@ocelma.gracenote.gracenote.com	python:S5754	python-recsys	5min	Specify an exception class to catch or reraise the exception	2012-02-02T22:39:30-0300	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	python-recsys:recsys/algorithm/factorize.py		MAIN	{startLine=96.0, endLine=96.0, startOffset=8.0, endOffset=14.0}	5min	AYF-znVk-os8lNRVS99o	3e264f5fbab10735799511f21ca70842	OPEN
INFO	2022-06-19T22:50:59-0300		97.0	ocelma@ocelma.gracenote.gracenote.com	python:S1135	python-recsys	0min	"Complete the task associated to this ""TODO"" comment."	2012-02-02T22:39:30-0300	CODE_SMELL	false	"cwe / "	python-recsys:recsys/algorithm/factorize.py		MAIN	{startLine=97.0, endLine=97.0, startOffset=20.0, endOffset=35.0}	0min	AYF-znVk-os8lNRVS99p	44ad69c778acb0b77dc3e00faef78c29	OPEN
CRITICAL	2022-06-19T22:50:59-0300		51.0	ocelma@ocelma.gracenote.gracenote.com	python:S3776	python-recsys	15min	Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.	2012-01-28T02:58:31-0300	CODE_SMELL	false	"brain-overload / "	python-recsys:recsys/utils/svdlibc.py	"{locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=75.0, endLine=75.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=80.0, endLine=80.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=81.0, endLine=81.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=83.0, endLine=83.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=89.0, endLine=89.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=94.0, endLine=94.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=96.0, endLine=96.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=105.0, endLine=105.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=106.0, endLine=106.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=108.0, endLine=108.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=115.0, endLine=115.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=116.0, endLine=116.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=python-recsys:recsys/utils/svdlibc.py, textRange={startLine=118.0, endLine=118.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=51.0, endLine=51.0, startOffset=8.0, endOffset=24.0}	15min	AYF-znVq-os8lNRVS9-K	b5717f20ef15025ca9363d3dc29f6f5d	OPEN
MAJOR	2022-06-19T22:50:59-0300		76.0	ocelma@ocelma.gracenote.gracenote.com	python:S125	python-recsys	5min	Remove this commented out code.	2012-01-28T02:58:31-0300	CODE_SMELL	false	"unused / "	python-recsys:recsys/utils/svdlibc.py		MAIN	{startLine=76.0, endLine=76.0, startOffset=12.0, endOffset=54.0}	5min	AYF-znVq-os8lNRVS9-M	df63979213de56029ec73fd1367d4aed	OPEN
CRITICAL	2022-06-19T22:50:59-0300		97.0	ocelma@ocelma.gracenote.gracenote.com	python:S3776	python-recsys	1h9min	Refactor this function to reduce its Cognitive Complexity from 79 to the 15 allowed.	2012-01-28T02:57:34-0300	CODE_SMELL	false	"brain-overload / "	python-recsys:recsys/datamodel/data.py	"{locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=116.0, endLine=116.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=118.0, endLine=118.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=120.0, endLine=120.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=122.0, endLine=122.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=124.0, endLine=124.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=127.0, endLine=127.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=129.0, endLine=129.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=133.0, endLine=133.0, startOffset=20.0, endOffset=26.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=136.0, endLine=136.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=141.0, endLine=141.0, startOffset=24.0, endOffset=30.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=145.0, endLine=145.0, startOffset=24.0, endOffset=30.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=149.0, endLine=149.0, startOffset=24.0, endOffset=30.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=153.0, endLine=153.0, startOffset=24.0, endOffset=26.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=153.0, endLine=153.0, startOffset=49.0, endOffset=52.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=153.0, endLine=153.0, startOffset=75.0, endOffset=77.0}, msg=+1}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=156.0, endLine=156.0, startOffset=28.0, endOffset=34.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=161.0, endLine=161.0, startOffset=28.0, endOffset=34.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=164.0, endLine=164.0, startOffset=20.0, endOffset=26.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=171.0, endLine=171.0, startOffset=16.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=174.0, endLine=174.0, startOffset=16.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=178.0, endLine=178.0, startOffset=16.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=179.0, endLine=179.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=183.0, endLine=183.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=184.0, endLine=184.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=186.0, endLine=186.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=188.0, endLine=188.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=python-recsys:recsys/datamodel/data.py, textRange={startLine=190.0, endLine=190.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=97.0, endLine=97.0, startOffset=8.0, endOffset=12.0}	1h9min	AYF-znVw-os8lNRVS9-l	59f21fb897090a3ac679305c9ac089cf	OPEN
