severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2022-09-15T16:02:17-0300		110.0	downey@allendowney.com	python:S100	thinking_stats_2	5min	"Rename method ""MakeSurvival"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2014-07-14T18:00:19-0300	CODE_SMELL	false	"convention / "	thinking_stats_2:code/survival.py		MAIN	{startLine=110.0, endLine=110.0, startOffset=8.0, endOffset=20.0}	5min	AYNCiAXBop39vzmInluZ	578dc16e8b24fe7cc9494e3a4c351507	OPEN
MAJOR	2022-09-15T16:02:17-0300		225.0	downey@allendowney.com	python:S1542	thinking_stats_2	10min	"Rename function ""EstimateHazardFunction"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2014-07-14T18:00:19-0300	CODE_SMELL	false	"convention / "	thinking_stats_2:code/survival.py		MAIN	{startLine=225.0, endLine=225.0, startOffset=4.0, endOffset=26.0}	10min	AYNCiAXCop39vzmInluf	a4538ceca530eb4c620b18e95a6c688b	OPEN
MAJOR	2022-09-15T16:02:17-0300		281.0	downey@allendowney.com	python:S1763	thinking_stats_2	5min	Delete this unreachable code or refactor the code to make it reachable.	2014-07-14T18:00:19-0300	BUG	false	"cwe / unused / "	thinking_stats_2:code/survival.py	"{locations=[{component=thinking_stats_2:code/survival.py, textRange={startLine=279.0, endLine=279.0, startOffset=4.0, endOffset=10.0}, msg=Statement exiting the current code block.}]} / "	MAIN	{startLine=281.0, endLine=291.0, startOffset=4.0, endOffset=38.0}	5min	AYNCiAXCop39vzmInluj	2c3218d5b245fd602fce54b7045d8da4	OPEN
MAJOR	2022-09-15T16:02:17-0300		214.0	downey@allendowney.com	python:S1542	thinking_stats_2	10min	"Rename function ""Plot"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2014-07-14T18:00:19-0300	CODE_SMELL	false	"convention / "	thinking_stats_2:code/thinkplot.py		MAIN	{startLine=214.0, endLine=214.0, startOffset=4.0, endOffset=8.0}	10min	AYNCiAVHop39vzmInlnE	026bd753aaf1bd8c28c122848ea45a52	OPEN
MINOR	2022-09-15T16:02:17-0300		72.0	downey@allendowney.com	python:S100	thinking_stats_2	5min	"Rename method ""MakeHazard"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2014-07-11T17:40:15-0300	CODE_SMELL	false	"convention / "	thinking_stats_2:code/survival.py		MAIN	{startLine=72.0, endLine=72.0, startOffset=8.0, endOffset=18.0}	5min	AYNCiAXBop39vzmInluX	4dd386fc60b858fd6e0b0ac85fb57a29	OPEN
MINOR	2022-09-15T16:02:17-0300		121.0	downey@allendowney.com	python:S100	thinking_stats_2	5min	"Rename method ""MakeSurvival2"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2014-07-11T17:40:15-0300	CODE_SMELL	false	"convention / "	thinking_stats_2:code/survival.py		MAIN	{startLine=121.0, endLine=121.0, startOffset=8.0, endOffset=21.0}	5min	AYNCiAXBop39vzmInlua	63f55595a3801b4f44dc1e5eeba9d342	OPEN
MAJOR	2022-09-15T16:02:17-0300		177.0	downey@allendowney.com	python:S1542	thinking_stats_2	10min	"Rename function ""PlotSurvival"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2014-07-11T17:40:15-0300	CODE_SMELL	false	"convention / "	thinking_stats_2:code/survival.py		MAIN	{startLine=177.0, endLine=177.0, startOffset=4.0, endOffset=16.0}	10min	AYNCiAXBop39vzmInlud	98c48a79e836c3eea91c7b1319e64f16	OPEN
MAJOR	2022-09-15T16:02:17-0300		200.0	downey@allendowney.com	python:S1542	thinking_stats_2	10min	"Rename function ""PlotHazard"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2014-07-11T17:40:15-0300	CODE_SMELL	false	"convention / "	thinking_stats_2:code/survival.py		MAIN	{startLine=200.0, endLine=200.0, startOffset=4.0, endOffset=14.0}	10min	AYNCiAXCop39vzmInlue	28aa71b7df54a1344ea29a3480638167	OPEN
MAJOR	2022-09-15T16:02:17-0300		251.0	downey@allendowney.com	python:S1542	thinking_stats_2	10min	"Rename function ""PlotMarriageData"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2014-07-11T17:40:15-0300	CODE_SMELL	false	"convention / "	thinking_stats_2:code/survival.py		MAIN	{startLine=251.0, endLine=251.0, startOffset=4.0, endOffset=20.0}	10min	AYNCiAXCop39vzmInlug	66fe03cbdec12e4b980f3c1ccf728764	OPEN
MINOR	2022-09-15T16:02:17-0300		256.0	downey@allendowney.com	python:S1481	thinking_stats_2	5min	"Remove the unused local variable ""cdf""."	2014-07-11T17:40:15-0300	CODE_SMELL	false	"unused / "	thinking_stats_2:code/survival.py		MAIN	{startLine=256.0, endLine=256.0, startOffset=4.0, endOffset=7.0}	5min	AYNCiAXCop39vzmInluh	d69bcbbfb4f42aaf56a9bb73b1a501fd	OPEN
